Stade Lavallois;FRA;70;Stade Francis Le Basser;David Vignes;FRA;FC8F0A;000000;18500
Mamadou Samassa;G;MLI;N;36;D;S;Ref;Con;0
Maxime Hautbois;G;FRA;N;35;D;N;Sgo;For;0
Esteban Mouton;L;FRA;N;22;D;N;Pos;For;0
Jules Gaudin;L;FRA;N;26;D;N;Pas;Res;0
Layousse Samb;L;SEN;N;25;E;S;Cru;For;0
Aboubacar Lô;Z;SEN;N;26;D;S;Mar;For;0
Mattéo Commaret;Z;FRA;N;24;D;N;Des;Vel;0
Sidi Bane;Z;SEN;N;22;D;N;Mar;Vel;0
William Bianda;Z;FRA;N;26;E;S;Ant;Vel;0
Cyril Mandouki;V;MTQ;N;34;D;S;Ant;Agi;0
Francis Coquelin;V;FRA;N;35;D;S;Des;Res;0
Hermann Esmel;V;FRA;N;26;D;N;Des;For;0
Sam Sanna;V;FRA;N;27;D;S;Mar;Con;0
Teddy Bouriaud;V;FRA;N;29;E;S;Chu;Vis;0
Chafik Gourichy;M;FRA;N;25;D;N;Arm;Agi;0
Julien Maggiotti;M;FRA;N;30;D;S;Chu;Res;0
Ethan Clavreul;P;FRA;N;20;D;S;Arm;Res;0
Abou Kanté;A;GMB;N;31;D;N;Cab;For;0
Corentin Fatou;A;FRA;N;27;E;S;Fin;Imp;0
Mathys Houdayer;A;FRA;N;21;D;N;Fin;Vel;0
Noa Mupemba;A;FRA;N;23;D;N;Dri;Vel;0
Trévis Dago;A;FRA;N;21;D;N;Chu;Fri;0
