Strasbourg;FRA;86;Stade de la Meinau;Hugo Oliveira;PRT;00A0E4;FFFFFF;29000
Filip Jørgensen;G;DNK;N;24;D;S;Ref;For;0
Milosz Piekutowski;G;POL;N;20;A;N;Ref;Fle;0
Ben Chilwell;L;ENG;N;29;E;N;Cru;Vel;0
Genesis Antwi;L;SWE;N;19;D;S;Cru;Ace;0
Mateo Del Blanco;L;ARG;N;22;E;N;Pos;Vel;0
Oso;L;ESP;N;23;E;N;Cru;Vel;0
Hermann Malonga;Z;FRA;N;18;D;N;Pos;Vel;0
Ismaël Doukouré;Z;FRA;N;23;D;N;Cab;Res;0
Jeyland Mitchell;Z;CRI;N;21;D;S;Mar;For;0
Karim Coulibaly;Z;DEU;N;19;E;N;Pos;Res;0
Lucas Høgsberg;Z;DNK;N;20;D;S;Pos;For;0
Omobamidele;Z;IRL;N;24;D;S;Mar;Vel;0
Diogo Sousa;V;PRT;N;20;E;S;Mar;Con;0
Dário Essugo;V;PRT;N;21;D;N;Ant;Agi;0
Maxi Oyedele;V;POL;N;21;D;N;Mar;Con;0
Benjamin Brantlind;M;SWE;N;18;D;N;Fin;Cri;0
Demba Diop;M;SEN;N;22;D;S;Pas;Res;0
Giovanni Reyna;M;USA;N;23;D;S;Dri;Agi;0
Omari Kellyman;M;ENG;N;20;E;N;Fin;Agi;0
Samir El Mourabet;M;MAR;N;20;E;N;Pas;Vis;0
Amo-Ameyaw;P;ENG;N;20;E;N;Fin;Res;0
Fábio Baldé;P;PRT;N;21;D;N;Dri;Vel;0
Gessime Yassine;P;MAR;N;20;E;S;Cru;Cri;0
Martial Godo;P;CIV;N;23;D;N;Arm;Ace;0
Sebastian Nanasi;P;SWE;N;24;D;S;Cru;Cri;0
Yaya Diémé;P;SEN;N;18;E;N;Dri;Ace;0
Conrad Harder;A;DNK;N;21;E;N;Cab;For;0
Deivid Washington;A;BRA;N;21;D;N;Fin;Vel;0
Jacobo Ortega;A;ESP;N;20;D;S;Fin;For;0
Joaquín Panichelli;A;ARG;N;23;D;N;Cab;For;0
