Toulouse;FRA;85;Stadium Municipal;Jens Berthel Askou;DNK;3D2C56;FFFFFF;33000
Guillaume Restes;G;FRA;N;21;E;S;Sgo;Con;0
Mathys Niflore;G;FRA;N;19;D;N;Sgo;For;0
Christ Tapé;L;CIV;N;20;E;S;Pos;For;0
Ismaïl Diallo;L;FRA;N;23;D;S;Cru;Agi;0
Rafik Messali;L;DZA;N;23;D;N;Mar;Agi;0
David Odogu;Z;DEU;N;20;D;N;Mar;For;0
Mark McKenzie;Z;USA;N;27;D;S;Pos;Con;0
Rasmus Nicolaisen;Z;DNK;N;29;E;S;Cab;Vel;0
Seny Koumbassa;Z;FRA;N;19;D;N;Des;For;0
Niko Sigur;V;CAN;N;22;D;N;Ant;Con;0
Abu Francis;M;GHA;N;25;D;N;Arm;Cri;0
Alexis Vossah;M;FRA;N;18;A;N;Chu;Res;0
Aymen Amaaouch;M;FRA;N;16;E;N;Pas;Vis;0
Cristian Cásseres Jr.;M;VEN;N;26;D;S;Pas;Vis;0
Mathis Amougou;M;FRA;N;20;D;N;Arm;Cri;0
Niklas Schmidt;M;DEU;N;28;A;S;Pas;Agi;0
Thomas Jørgensen;M;DNK;N;20;E;S;Arm;Vis;0
Aron Dønnum;P;NOR;N;28;E;N;Cru;Ace;0
Ilyas Azizi;P;FRA;N;18;D;N;Fin;Agi;0
Sion Oppong;P;SWE;N;18;D;N;Dri;Vel;0
Yann Gboho;P;FRA;N;25;D;S;Fin;Vel;0
Casper Tengstedt;A;DNK;N;26;D;N;Fin;Imp;0
Julián Vignolo;A;ARG;N;19;D;S;Chu;Vel;0
Russell-Rowe;A;CAN;N;23;D;S;Cab;Res;0
Santiago Hidalgo;A;ARG;N;21;E;N;Fin;For;0
