Troyes;FRA;81;Stade de l'Aube;Stéphane Dumont;FRA;006EB3;FFFFFF;21500
Hillel Konaté;G;BFA;N;31;D;N;Sgo;For;0
Patrick Beach;G;AUS;N;23;E;S;Ref;Con;0
Zacharie Boucher;G;FRA;N;34;D;N;Col;Fle;0
Anis Ouzenadji;L;FRA;N;19;E;S;Cru;Res;0
Ismaël Boura;L;COM;N;26;E;N;Cru;For;0
Lucas Maronnier;L;FRA;N;26;D;N;Des;Res;0
Yvann Titi;L;FRA;N;20;D;N;Mar;Agi;0
Adrien Monfray;Z;FRA;N;35;D;S;Cab;Res;0
Junior Diaz;Z;CIV;N;23;D;S;Des;Imp;0
Paolo Gozzi;Z;ITA;N;25;E;N;Des;Vel;0
Tom Akpakoun;Z;FRA;N;21;D;N;Pos;Imp;0
Alexandre Phliponeau;V;FRA;N;26;D;N;Chu;For;0
Roman Murcy;V;FRA;N;20;D;N;Des;Vis;0
Antoine Mille;M;FRA;N;29;E;S;Arm;Agi;0
Dermane Karim;M;TGO;N;22;D;N;Arm;Agi;0
Hugo Picard;M;FRA;N;23;D;S;Dri;Agi;0
Iron Gomis;M;FRA;N;26;D;S;Pas;Agi;0
Merwan Ifnaoui;M;FRA;N;27;E;S;Chu;Vis;0
Mouhamed Diop;M;SEN;N;25;D;S;Fin;Cri;0
Amadou Diakité;P;FRA;N;21;E;N;Dri;Ace;0
Elijah Odede;P;NGA;N;19;D;N;Fin;Res;0
Kandet Diawara;P;GIN;N;26;D;S;Fin;Cri;0
Ibrahim Traoré;A;FRA;N;20;D;N;Cab;Imp;0
Jérémy Le Douaron;A;FRA;N;28;E;N;Cab;Res;0
Renaud Ripart;A;FRA;N;33;D;S;Chu;Vel;0
Timothé Nkada;A;FRA;N;27;D;N;Fin;Vel;0
