Valenciennes;FRA;61;Stade du Hainaut;Pierre Blois;FRA;ED1C24;FFFFFF;25000
Jean Louchet;G;FRA;N;29;D;S;Col;Fle;0
Justin Lacombe;G;FRA;N;23;D;N;Rbo;Fle;0
Abdelwahed Wahib;L;MAR;N;26;E;N;Des;For;0
Christopher Rocchia;L;FRA;N;28;E;S;Mar;Agi;0
Derrick Abu;L;ENG;N;22;D;S;Cru;Vel;0
Noam Blé;L;FRA;N;23;E;N;Cru;Res;0
Abou Meïté;Z;FRA;N;22;E;N;Mar;For;0
Bryan Passi;Z;COG;N;29;D;S;Pos;Imp;0
Dany Goprou;Z;FRA;N;27;D;N;Des;For;0
Maël Zogba;Z;FRA;N;26;D;S;Ant;Imp;0
Nolann Bourichon;Z;FRA;N;18;D;N;Pos;Con;0
Luka Boiteau;M;CAN;N;20;D;N;Chu;Vis;0
Mabrouk Rouaï;M;FRA;N;25;D;S;Dri;Agi;0
Samir Belloumou;M;FRA;N;32;D;N;Pas;Vis;0
Thibault Maréchal;M;FRA;N;24;A;S;Arm;Vis;0
Vincent Marcel;M;FRA;N;29;E;S;Pas;Vis;0
Daou Diomandé;P;FRA;N;23;D;N;Dri;Ace;0
Kylian Kouakou;P;FRA;N;19;E;N;Fin;Ace;0
Rayane Ekra;P;CIV;N;22;D;S;Fin;Vel;0
Salif Lebouath;P;FRA;N;24;D;N;Cru;Agi;0
Zaïd Amir;P;COM;N;24;D;S;Fin;Agi;0
Charles Abi;A;TGO;N;26;E;S;Fin;For;0
Célestin Nyemb;A;CMR;N;20;D;N;Cab;Imp;0
Gaëtan Courtet;A;FRA;N;37;A;N;Chu;Fri;0
