Arezzo;ITA;70;Città di Arezzo;Cristian Bucchi;ITA;77131E;FFFFFF;13000
Amoris Galli;G;ITA;N;20;D;N;Ref;Fle;0
Luca Trombini;G;ITA;N;25;D;S;Ref;Con;0
Alessandro Renzi;L;ITA;N;22;D;N;Mar;Agi;0
Andrea Cagnano;L;ITA;N;28;E;N;Des;Agi;0
Fabio Tito;L;ITA;N;33;E;N;Cru;For;0
Filippo De Col;L;ITA;N;32;D;S;Pos;For;0
Samuele Righetti;L;ITA;N;24;E;S;Cru;Vel;0
Davide Mancini;Z;ITA;N;20;D;N;Pos;Con;0
Julián Illanes;Z;ARG;N;29;D;N;Des;Imp;0
Marco Chiosa;Z;ITA;N;32;E;S;Ant;Con;0
Matteo Gilli;Z;ITA;N;29;D;S;Des;For;0
Matías Casarosa;Z;ARG;N;18;D;N;Mar;For;0
Mauro Coppolaro;Z;ITA;N;29;D;N;Pos;Vel;0
Mattia Viviani;V;ITA;N;25;D;N;Pas;Vis;0
Artur Ioniță;M;MDA;N;35;A;N;Arm;Vis;0
Eklu Shaka Mawuli;M;GHA;N;28;D;S;Pas;Res;0
Gennaro Iaccarino;M;ITA;N;23;D;S;Pas;Agi;0
Kevin Leone;M;ITA;N;21;D;N;Dri;Agi;0
Luca Chierico;M;ITA;N;24;D;S;Arm;Vis;0
Mattia Sala;M;ITA;N;21;A;N;Pas;Vis;0
Patrick Moreschini;M;ITA;N;24;A;N;Arm;Res;0
Alessandro Arena;P;ITA;N;26;E;N;Arm;Cri;0
Camillo Tavernelli;P;ITA;N;27;D;S;Dri;Vel;0
Emiliano Pattarello;P;ITA;N;27;E;S;Dri;Ace;0
Muhamed Varela Djamanca;P;PRT;N;28;D;N;Dri;Vel;0
Samuele Sussi;P;ITA;N;18;D;N;Cru;Agi;0
Alberto Cerri;A;ITA;N;30;D;N;Pas;For;0
Leonardo Mancuso;A;ITA;N;34;D;N;Fin;Fri;0
Marco Olivieri;A;ITA;N;27;D;N;Pas;Res;0
Pietro Cianci;A;ITA;N;30;E;S;Cab;Imp;0
