Ascoli;ITA;70;Cino e Lillo Del Duca;Francesco Tomei;ITA;FFFFFF;000000;20500
Gian Marco Crespi;G;ITA;N;25;D;N;Rbo;Con;0
Matteo Raffaelli;G;ITA;N;21;D;N;Col;Imp;0
Rok Bržan;G;SVN;N;22;D;N;Ref;Con;0
Samuele Vitale;G;ITA;N;24;D;S;Sgo;Fle;0
Abdoul Guiebre;L;BFA;N;29;E;S;Cru;Vel;0
Manuel Alagna;L;ITA;N;24;D;S;Mar;Res;0
Damiano Menna;Z;ITA;N;31;D;N;Pos;Con;0
Federico Gattoni;Z;ARG;N;27;D;N;Pos;Con;0
Manuel Nicoletti;Z;ITA;N;27;E;S;Ant;Vel;0
Marcos Curado;Z;ARG;N;31;D;S;Des;For;0
Nicholas Rizzo;Z;ITA;N;26;E;N;Ant;Imp;0
Giovanni Corradini;V;ITA;N;23;E;S;Mar;Con;0
Matteo Ricci;V;ITA;N;31;A;N;Pas;Vis;0
Samuele Damiani;V;ITA;N;28;A;S;Pas;Vis;0
Gennaro Acampora;M;ITA;N;32;E;N;Chu;Vis;0
Luca Lo Scalzo;M;ITA;N;19;D;N;Chu;Agi;0
Sergiu Perciun;M;MDA;N;20;D;N;Pas;Vis;0
Tommaso Milanese;M;ITA;N;24;D;S;Arm;Agi;0
Andrea Oliveri;P;ITA;N;23;D;N;Fin;Vel;0
Andrea Silipo;P;ITA;N;25;E;S;Dri;Agi;0
Don Bolsius;P;NLD;N;27;D;N;Dri;Vel;0
Filippo Palazzino;P;ITA;N;22;D;N;Dri;Ace;0
Giacomo De Pieri;P;ITA;N;19;E;N;Dri;Agi;0
Simone D'Uffizi;P;ITA;N;21;D;S;Dri;Ace;0
Gabriele Gori;A;ITA;N;27;E;S;Fin;For;0
Matteo Brunori;A;ITA;N;31;D;N;Fin;For;0
Mohammed Amine Chakir;A;ITA;N;25;D;N;Fin;Vel;0
