Como;ITA;90;Giuseppe Sinigaglia;Cesc Fàbregas;ESP;007FFF;FFFFFF;12000
Emil Audero;G;IDN;N;29;D;N;Ref;Fle;0
Jean Butez;G;FRA;N;31;D;S;Ref;Fri;0
Mauro Vigorito;G;ITA;N;36;D;N;Ref;For;0
Robert Sánchez;G;ESP;N;28;D;N;Sgo;Fle;0
Ivan Smolcic;L;HRV;N;25;D;N;Pas;Res;0
Kaiki;L;BRA;N;23;E;N;Des;Agi;0
Yan Couto;L;BRA;N;24;D;N;Cru;Vel;0
Álex Valle;L;ESP;N;22;E;S;Cru;Ace;0
Alberto Dossena;Z;ITA;N;27;D;N;Cab;For;0
Edoardo Goldaniga;Z;ITA;N;32;D;N;Cab;Imp;0
Jacobo Ramón;Z;ESP;N;21;D;S;Mar;Con;0
Marc Oliver Kempf;Z;DEU;N;31;E;S;Ant;For;0
Trevoh Chalobah;Z;ENG;N;27;D;N;Pos;Res;0
Willy Kambwala;Z;FRA;N;21;D;N;Mar;For;0
Máximo Perrone;V;ARG;N;23;E;S;Pas;Vis;0
Samuele Ricci;V;ITA;N;24;D;N;Pas;Vis;0
Adrian Lahdo;M;SWE;N;18;D;N;Arm;Res;0
Luca Mazzitelli;M;ITA;N;30;D;N;Pas;Fri;0
Lucas Da Cunha;M;FRA;N;25;E;S;Dri;Cri;0
Luis Milla;M;ESP;N;31;D;S;Arm;Vis;0
Martin Baturina;M;HRV;N;23;D;N;Dri;Vis;0
Mattia Liberali;M;ITA;N;19;E;N;Dri;Agi;0
Maxence Caqueret;M;FRA;N;26;D;N;Pas;Agi;0
Nico Paz;M;ARG;N;21;E;S;Arm;Vis;2
Assane Diao;P;SEN;N;20;D;N;Dri;Vel;0
Jayden Addai;P;NLD;N;20;E;N;Cru;Vel;0
Jesús Rodríguez;P;ESP;N;20;D;S;Arm;Cri;0
Anastasios Douvikas;A;GRC;N;26;D;S;Fin;Fri;0
Moise Kean;A;ITA;S;26;D;N;Fin;Vel;0
Álvaro Morata;A;ESP;N;33;D;S;Chu;For;6
