Fiorentina;ITA;86;Artemio Franchi;Fabio Grosso;ITA;5C2180;FFFFFF;43000
David de Gea;G;ESP;N;35;D;S;Ref;Fle;0
Luca Lezzerini;G;ITA;N;31;D;N;Ref;Con;0
Oliver Christensen;G;DNK;N;27;D;N;Sgo;Con;0
Dodô;L;BRA;N;27;D;S;Cru;Vel;0
Fabiano Parisi;L;ITA;N;25;E;N;Des;Agi;0
João Mário;L;PRT;N;26;D;N;Cru;Vel;0
Álex Jiménez;L;ESP;N;21;D;N;Des;Agi;0
Luca Ranieri;Z;ITA;N;27;E;S;Des;Con;0
Marin Pongracic;Z;HRV;N;28;D;S;Ant;Vel;0
Radu Drăgușin;Z;ROU;N;24;D;N;Ant;Vel;0
Viery;Z;BRA;N;21;E;N;Mar;Res;0
Víctor Valdepeñas;Z;ESP;N;19;E;S;Mar;For;0
Arthur Atta;M;FRA;N;23;D;N;Dri;Agi;0
Cher Ndour;M;ITA;N;21;D;N;Fin;Res;0
Christ Inao Oulaï;M;CIV;N;20;D;N;Dri;Agi;0
Marco Brescianini;M;ITA;N;26;E;S;Fin;Res;0
Nicolò Fagioli;M;ITA;N;25;D;S;Pas;Vis;0
Alieu Njie;P;SWE;N;21;D;N;Dri;Vel;0
Franco Mastantuono;P;ARG;N;18;E;N;Pas;Agi;0
Pedro Gonçalves;P;PRT;S;28;D;S;Fin;Cri;5
Riccardo Sottil;P;ITA;N;27;D;S;Cru;Agi;0
Wilfried Gnonto;P;ITA;N;22;D;S;Arm;Cri;0
Beto;A;GNB;N;28;D;S;Cab;Vel;0
Mateo Pellegrino;A;ARG;N;24;E;N;Fin;For;0
