Genoa;ITA;84;Luigi Ferraris;Daniele De Rossi;ITA;07078A;E60707;34500
Daniele Sommariva;G;ITA;N;29;D;N;Ref;Fle;0
Justin Bijlow;G;NLD;N;28;D;S;Ref;Con;1
Brooke Norton-Cuffy;L;ENG;N;22;D;S;Pas;Vel;0
Cody Drameh;L;ENG;N;24;D;N;Mar;Ace;0
David Puczka;L;AUT;N;21;E;N;Cru;Res;0
Marcelo Vaz;L;GNB;N;18;E;N;Cru;Vel;0
Mario Mitaj;L;ALB;N;22;E;S;Pas;Agi;0
Stefano Sabelli;L;ITA;N;33;D;N;Des;For;0
Alê Marcandalli;Z;ITA;N;23;D;S;Mar;Vel;0
Johan Vásquez;Z;MEX;N;27;E;S;Mar;Con;0
Leo Østigård;Z;NOR;N;26;D;S;Cab;Imp;0
Mamedi Doucouré;Z;FRA;N;19;D;N;Des;Vel;0
Sebastian Otoa;Z;DNK;N;22;D;N;Pos;Imp;0
Morten Frendrup;V;DNK;N;25;D;S;Des;Res;0
Amorim;M;BRA;N;21;D;N;Chu;Agi;0
Djibril Sow;M;CHE;N;29;D;N;Fin;Res;0
Egill Ellertsson;M;ISL;N;24;E;S;Arm;Res;0
Franz-Ethan Meichtry;M;CHE;N;21;D;N;Fin;Vis;0
Samuel Wiafe;M;ITA;N;18;D;N;Pas;Res;0
Tommaso Baldanzi;M;ITA;N;23;E;N;Dri;Agi;0
El Shaarawy;P;ITA;N;33;D;N;Dri;Cri;0
Hamed Traoré;P;CIV;N;26;D;N;Fin;Ace;0
Junior Messias;P;BRA;N;35;E;S;Fin;Cri;0
Lorenzo Venturino;P;ITA;N;20;D;N;Fin;Ace;0
Robinho Junior;P;BRA;N;18;A;N;Dri;Agi;0
Elias Havel;A;AUT;N;23;D;N;Fin;Vel;0
Joi Nuredini;A;ALB;N;18;D;N;Fin;Imp;0
Lorenzo Colombo;A;ITA;N;24;E;S;Fin;For;0
Milutin Osmajic;A;MNE;N;27;D;N;Fin;Vel;0
Vitinha;A;PRT;N;26;D;S;Dri;Vel;0
