Hellas Verona;ITA;73;Marcantonio Bentegodi;Marco Baroni;ITA;F2E63A;5338DE;39000
Nicola Leali;G;ITA;N;33;D;S;Ref;Con;0
Simone Perilli;G;ITA;N;31;D;N;Col;Imp;0
Daniel Oyegoke;L;ENG;N;23;D;S;Des;For;0
Davide De Battisti;L;ITA;N;20;E;N;Cru;Agi;0
Domagoj Bradarić;L;HRV;N;26;E;S;Cru;Vel;0
Fallou Cham;L;GMB;N;20;D;N;Mar;For;0
Martin Frese;L;DNK;N;28;E;N;Des;For;0
Andrias Edmundsson;Z;FRO;N;25;E;S;Cab;For;0
Noe Mael Tagne;Z;FRA;N;18;E;N;Pos;Imp;0
Paweł Dawidowicz;Z;POL;N;31;A;N;Des;For;0
Seid Korac;Z;LUX;N;24;D;N;Cab;Imp;0
Tobias Slotsager;Z;DNK;N;20;D;N;Cab;For;0
Andréa Le Borgne;V;FRA;N;20;D;N;Pas;For;0
Leorat Bega;V;CHE;N;23;D;N;Pas;Con;0
Abdou Harroui;M;MAR;N;28;A;S;Dri;Agi;0
Antoine Bernede;M;FRA;N;27;D;S;Pas;Res;0
Edoardo Iannoni;M;ITA;N;25;D;N;Pas;Res;0
Grigoris Kastanos;M;CYP;N;28;E;S;Arm;Agi;0
Mattia Compagnon;M;ITA;N;24;E;S;Fin;Agi;0
Nunzio Lella;M;ITA;N;26;D;N;Pas;Agi;0
Suat Serdar;M;DEU;N;29;D;N;Dri;Res;0
Tomas Suslov;M;SVK;N;24;E;N;Dri;Cri;0
Kacper Sezonienko;P;POL;N;23;D;N;Fin;Res;0
Salvatore Cerbone;P;ITA;N;18;D;N;Dri;Vel;0
Amin Sarr;A;SWE;N;25;D;S;Dri;Vel;0
Caleb Ekuban;A;GHA;N;31;D;S;Fin;For;0
Daniel Mosquera;A;COL;N;26;D;N;Fin;For;0
Ioan Vermeșan;A;ROU;N;19;D;N;Fin;Vel;0
Ruben Akalé;A;FRA;N;19;D;N;Dri;Vel;0
Samuele Mulattieri;A;ITA;N;25;D;S;Fin;Res;0
