Internazionale;ITA;94;Giuseppe Meazza;Cristian Chivu;ROU;000000;0055A0;75500
Ivan Provedel;G;ITA;N;32;D;N;Ref;Con;0
Josep Martínez;G;ESP;N;28;D;N;Sgo;Fle;0
Raffaele Di Gennaro;G;ITA;N;32;D;S;Col;Con;0
Carlos Augusto;L;BRA;N;27;E;N;Cru;For;0
Djed Spence;L;ENG;N;25;D;N;Pas;Agi;0
Federico Dimarco;L;ITA;N;28;E;S;Cru;Res;0
Alessandro Bastoni;Z;ITA;S;27;E;S;Ant;For;4
Benjamin Pavard;Z;FRA;N;30;D;S;Des;For;0
John Stones;Z;ENG;N;31;D;N;Pos;For;0
Manuel Akanji;Z;CHE;N;30;D;S;Des;For;0
Yann Bisseck;Z;DEU;N;25;D;N;Des;Imp;0
Aleksandar Stanković;V;SRB;N;20;D;N;Pas;Vis;0
Hakan Çalhanoğlu;V;TUR;S;32;D;S;Pas;Vis;0
Andy Diouf;M;FRA;N;23;E;N;Pas;Cri;0
Curtis Jones;M;ENG;N;25;D;N;Pas;Agi;0
Henrikh Mkhitaryan;M;ARM;N;37;A;S;Arm;Cri;0
Luis Henrique;M;BRA;N;24;D;N;Dri;Agi;0
Nicolò Barella;M;ITA;S;29;D;S;Pas;Res;3
Petar Sučić;M;HRV;N;22;D;N;Pas;Fri;0
Piotr Zieliński;M;POL;N;32;A;S;Dri;Cri;0
Ange-Yoan Bonny;A;FRA;N;22;D;N;Chu;For;0
Lautaro Martínez;A;ARG;S;28;D;S;Fin;Fri;6
Marcus Thuram;A;FRA;N;28;D;S;Dri;Vel;0
Pio Esposito;A;ITA;N;21;D;N;Cab;Imp;0
