Lecce;ITA;82;Ettore Giardiniero;Eusebio Di Francesco;ITA;F7FF08;E80000;31500
Marco Bleve;G;ITA;N;30;D;N;Col;For;0
Plamen Penev;G;BGR;N;18;E;N;Ref;Fle;0
Wladimiro Falcone;G;ITA;N;31;D;S;Ref;Con;0
Ali Dembélé;L;FRA;N;22;D;N;Pos;For;0
Antonino Gallo;L;ITA;N;26;E;S;Cru;Res;0
Corrie Ndaba;L;IRL;N;26;E;N;Des;For;0
Danilo Veiga;L;PRT;N;23;D;S;Des;Res;0
Elijah Scott;Z;USA;N;20;D;N;Pos;Vel;0
Gaby Jean;Z;FRA;N;26;E;N;Cab;For;0
Gaspar;Z;AGO;N;28;D;S;Des;For;0
Jamil Siebert;Z;DEU;N;24;D;S;Mar;For;0
Tiago Gabriel;Z;PRT;N;21;D;S;Cab;Imp;0
Niko Kovač;V;BIH;N;21;A;N;Pas;Agi;0
Olaf Gorter;V;NLD;N;21;D;N;Pas;Agi;0
Oumar Ngom;V;MRT;N;22;D;S;Mar;For;0
Sadik Fofana;V;TGO;N;23;D;N;Mar;For;0
Ivan Ilić;M;SRB;N;25;E;N;Pas;Vis;0
Joël Monteiro;M;CHE;N;27;D;N;Dri;Res;0
Lassana Coulibaly;M;MLI;N;30;D;S;Pas;Res;0
Medon Berisha;M;ALB;N;22;D;N;Arm;Vis;0
Mohamed Kaba;M;GIN;N;24;D;N;Pas;Agi;0
Omri Gandelman;M;ISR;N;26;E;N;Fin;Res;0
Youssef Maleh;M;MAR;N;28;E;N;Pas;Res;0
Amar Fatah;P;SWE;N;22;D;N;Dri;Ace;0
Hjalte Lærke;P;DNK;N;19;E;N;Pas;Agi;0
Konan N’Dri;P;CIV;N;25;E;S;Dri;Ace;0
Santiago Pierotti;P;ARG;N;25;D;S;Dri;Res;0
Nikola Stulic;A;SRB;N;24;D;N;Fin;Res;0
Paco Esteban;A;ESP;N;20;D;N;Fin;Fri;0
Willem Geubbels;A;FRA;N;25;D;S;Cab;Vel;0
