Modena;ITA;72;Alberto Braglia;Daniele Galloppa;ITA;FBFF00;1616CC;21000
Abdullah Laidani;G;CHE;N;23;D;N;Col;Imp;0
Leandro Chichizola;G;ARG;N;36;D;S;Ref;Con;0
Leonardo Consiglio;G;ITA;N;19;D;N;Col;For;0
Gady Beyuku;L;FRA;N;20;D;N;Des;Agi;0
Martino Odero;L;ITA;N;19;D;N;Mar;Agi;0
Bryant Nieling;Z;NLD;N;23;E;S;Pos;Con;0
Daniel Tonoli;Z;ITA;N;23;D;S;Cab;For;0
Davide Adorni;Z;ITA;N;33;D;S;Ant;Con;0
Diego Ronco;Z;ITA;N;21;E;N;Pos;Vel;0
Francesco Folino;Z;ITA;N;24;D;N;Cab;For;0
Steven Nador;Z;TGO;N;24;D;N;Des;For;0
Gastón Brugman;V;URY;N;33;D;S;Pas;Vis;0
Wisdom Acquah;V;ITA;N;19;E;N;Pas;Agi;0
Alessandro Bianco;M;ITA;N;23;D;N;Pas;Agi;0
Alessandro Sersanti;M;ITA;N;24;D;N;Dri;Res;0
Antonio Imputato;M;ITA;N;21;D;N;Fin;Agi;0
Francesco Zampano;M;ITA;N;32;D;S;Pas;Res;0
Giacomo Olzer;M;ITA;N;24;E;N;Fin;Fri;0
Giuseppe Caso;M;ITA;N;27;D;S;Dri;Agi;0
Kleis Bozhanaj;M;ALB;N;25;D;S;Arm;Cri;0
Paulo Azzi;M;BRA;N;31;D;N;Arm;Res;0
Simone Santoro;M;ITA;N;26;D;S;Pas;Vis;0
Stênio;P;BRA;N;23;D;S;Dri;Agi;0
Daniele Montevago;A;ITA;N;23;D;N;Fin;Res;0
Joris Manquant;A;FRA;N;20;A;N;Fin;For;0
Luca Bacchin;A;ITA;N;22;E;N;Pas;Res;0
Pedro Mendes;A;PRT;N;26;D;S;Fin;For;0
