Palermo;ITA;76;La Favorita;Filippo Inzaghi;ITA;F0C0C8;0A0A0A;36000
Jesse Joronen;G;FIN;N;33;D;S;Ref;Fri;0
Manfredi Nespola;G;ITA;N;21;D;N;Col;Con;0
Mattia Fortin;G;ITA;N;23;D;N;Ref;Con;0
Mattia Perin;G;ITA;N;33;D;N;Col;Imp;0
Alessio Buttaro;L;ITA;N;23;D;N;Pos;For;0
Andrea Bozzolan;L;ITA;N;22;E;N;Cru;Vel;0
Niccolò Pierozzi;L;ITA;N;24;D;S;Des;Res;0
Tommaso Augello;L;ITA;N;31;E;S;Cru;Agi;0
Federico Barba;Z;ITA;N;32;E;S;Pos;Con;0
Giangiacomo Magnani;Z;ITA;N;30;D;N;Cab;Imp;0
Mattia Bani;Z;ITA;N;32;D;S;Pos;For;0
Patryk Peda;Z;POL;N;24;D;N;Ant;Vel;0
Pietro Ceccaroni;Z;ITA;N;30;E;S;Pos;Con;0
Tommaso Cassandro;Z;ITA;N;26;D;N;Mar;Vel;0
Claudio Gomes;V;FRA;N;25;D;N;Ant;Agi;0
Nahuel Estévez;V;ARG;N;30;D;S;Mar;Res;0
Antonio Palumbo;M;ITA;N;29;E;S;Arm;Vis;0
Emmanuel Gyasi;M;GHA;N;32;D;N;Dri;Res;0
Filippo Ranocchia;M;ITA;N;25;A;S;Chu;Agi;0
Hernani;M;BRA;N;32;A;N;Chu;Fri;0
Jacopo Segre;M;ITA;N;29;D;S;Fin;Res;0
Dennis Johnsen;P;NOR;N;28;D;N;Dri;Vel;0
Gabriel Strefezza;P;BRA;N;28;D;N;Dri;Agi;0
Alessandro Gabrielloni;A;ITA;N;32;D;N;Chu;Res;0
Dominic Vavassori;A;ITA;N;20;D;N;Fin;Vel;0
Joel Pohjanpalo;A;FIN;S;31;D;S;Fin;Fri;0
