Parma;ITA;83;Ennio Tardini;Carlos Cuesta;ESP;FFFB00;0000FF;22000
Edoardo Corvi;G;ITA;N;25;D;S;Col;Con;0
Giovanni Daffara;G;ITA;N;21;D;N;Ref;Con;0
Simone Ghidotti;G;ITA;N;26;D;N;Ref;Imp;0
Emanuele Valeri;L;ITA;N;27;E;S;Cru;Vel;0
Enrico Delprato;L;ITA;N;26;D;S;Des;For;0
Franco Carboni;L;ARG;N;23;E;N;Mar;For;0
Sascha Britschgi;L;CHE;N;19;D;S;Pas;Agi;0
Abdoulaye Ndiaye;Z;SEN;N;24;E;N;Cab;Imp;0
Diego Carlos;Z;BRA;N;33;D;N;Mar;For;0
Dominik Drobnic;Z;SVN;N;19;E;N;Pos;Con;0
Lautaro Valenti;Z;ARG;N;27;E;S;Des;For;0
Mariano Troilo;Z;ARG;N;23;A;N;Mar;For;0
Nicolas Trabucchi;Z;ITA;N;18;D;N;Pos;Con;0
Hans Nicolussi Caviglia;V;ITA;N;26;D;N;Pas;Con;0
Mandela Keita;V;BEL;N;24;D;S;Des;Res;0
Abdou-Salam Konate;M;SEN;N;19;D;N;Pas;Agi;0
Adrián Bernabé;M;ESP;N;25;E;S;Arm;Vis;0
Benja Cremaschi;M;USA;N;21;D;N;Pas;Res;0
Christian Ordóñez;M;ARG;N;21;D;N;Pas;Vis;0
Giovanni Fabbian;M;ITA;N;23;D;N;Fin;Res;0
Rachid Kouda;M;ITA;N;23;D;N;Dri;Res;0
El Bilal Touré;P;MLI;N;24;D;N;Fin;Vel;0
Ousmane Diallo;P;ESP;N;19;D;N;Dri;Ace;0
Pontus Almqvist;P;SWE;N;27;E;S;Dri;Vel;0
David Romero;A;ARG;N;23;D;S;Cab;For;0
Matija Frigan;A;HRV;N;23;E;N;Fin;Res;0
Nesta Elphege;A;FRA;N;25;E;S;Cab;Imp;0
Thomás De Martis;A;ARG;N;18;D;S;Cab;Vel;0
