Pisa;ITA;72;Cetilar Arena;Paolo Bianco;ITA;050404;100778;12500
Alessandro Confente;G;ITA;N;28;D;N;Ref;Con;0
Leonardo Loria;G;ITA;N;27;D;N;Ref;Con;0
Simone Scuffet;G;ITA;N;30;D;S;Ref;Fle;0
Simone Zanon;L;ITA;N;24;D;S;Cru;Res;0
Andrea Primasso;Z;ITA;N;20;D;N;Ant;Imp;0
Antonio Caracciolo;Z;ITA;N;36;D;S;Ant;Con;0
Arturo Calabresi;Z;ITA;N;30;D;S;Des;For;0
Daniel Denoon;Z;CHE;N;22;D;N;Cab;For;0
Francesco Coppola;Z;ITA;N;21;D;N;Cab;Imp;0
Mateus Lusuardi;Z;BRA;N;22;E;N;Cab;Imp;0
Rosen Bozhinov;Z;BGR;N;21;E;N;Cab;For;0
Simone Canestrelli;Z;ITA;N;25;D;S;Mar;Con;0
Giuseppe Leone;V;ITA;N;24;D;S;Pas;Vis;0
Jacopo Frosali;V;ITA;N;19;D;N;Chu;For;0
Malthe Højholt;V;DNK;N;25;D;S;Pas;Con;0
Omar Correia;V;FRA;N;26;D;N;Des;Agi;0
Felipe Loyola;M;CHL;N;25;D;N;Dri;Res;0
Gabriele Piccinini;M;ITA;N;25;D;N;Fin;Res;0
İsak Vural;M;TUR;N;20;D;N;Pas;Agi;0
Matteo Tramoni;M;FRA;N;26;D;S;Dri;Cri;0
Samuele Angori;M;ITA;N;22;E;S;Arm;Res;0
Tomás Esteves;M;PRT;N;24;D;N;Pas;Res;0
Emanuel Vignato;P;ITA;N;25;D;N;Dri;Agi;0
Emanuele Rao;P;ITA;N;20;D;N;Fin;Ace;0
Ichem Ferrah;P;FRA;N;20;E;N;Fin;Cri;0
Mehdi Léris;P;DZA;N;28;D;S;Arm;Res;0
Tommaso Marras;P;ITA;N;22;E;N;Fin;Ace;0
Elia Giani;A;ITA;N;25;D;N;Pas;Vel;0
Filippo Pittarello;A;ITA;N;29;D;N;Cab;For;0
Stefano Moreo;A;ITA;N;33;D;S;Fin;Imp;0
