Reggiana;ITA;61;Stadio Città del Tricolore;Attilio Tesser;ITA;821D1C;FFFFFF;21500
Francesco Borriello;G;ITA;N;21;A;N;Rbo;Con;0
Jacopo Furlan;G;ITA;N;33;D;S;Ref;Con;0
Matteo Sorzi;G;ITA;N;26;D;N;Col;Con;0
Alessandro Tripaldelli;L;ITA;N;27;E;S;Cru;Vel;0
Fabio Ponsi;L;ITA;N;25;D;S;Mar;For;0
Lorenzo Libutti;L;ITA;N;28;D;N;Mar;Vel;0
Simone Bonetti;L;ITA;N;21;E;S;Pas;Agi;0
Ashton Ezinwa;Z;FIN;N;18;D;N;Mar;Con;0
Danilo Quaranta;Z;ITA;N;29;E;N;Des;For;0
Matteo Battistini;Z;ITA;N;32;D;S;Des;For;0
Paolo Rozzio;Z;ITA;N;34;D;N;Ant;Con;0
Tomas Lepri;Z;ITA;N;23;D;N;Pos;Res;0
Lorenzo Crisetig;V;ITA;N;33;E;S;Pas;Vis;0
Michele Castagnetti;V;ITA;N;36;E;N;Pas;Vis;0
Samuel Ledain;V;FRA;N;18;D;N;Pas;Con;0
Damiano Basili;M;ITA;N;22;D;N;Pas;Agi;0
Francesco Vallarelli;M;ITA;N;21;D;S;Pas;Vis;0
Kristófer Jónsson;M;ISL;N;23;D;S;Pas;Agi;0
Manolo Portanova;M;ITA;N;26;D;S;Fin;Res;0
Massimo Bertagnoli;M;ITA;N;27;D;N;Arm;Vis;0
Matteo Rover;M;ITA;N;27;D;N;Arm;Res;0
Matteo Tessitori;M;ITA;N;20;D;N;Pas;Agi;0
Michele Cavion;M;ITA;N;31;A;S;Fin;Vis;0
Natan Girma;M;CHE;N;24;D;N;Fin;Agi;0
Ousmane Banse;P;BFA;N;18;D;N;Fin;Cri;0
Edoardo Cavaliere;A;ITA;N;20;D;N;Pas;For;0
Leon Sipos;A;HRV;N;26;D;S;Cab;Imp;0
