Roma;ITA;91;Olimpico di Roma;Gian Piero Gasperini;ITA;FFB22E;9E142B;70500
Devis Vásquez;G;COL;N;28;D;N;Ref;Fri;0
Giorgio De Marzi;G;USA;N;19;D;N;Ref;Fle;0
Mile Svilar;G;SRB;N;26;D;S;Ref;Fle;0
Pierluigi Gollini;G;ITA;N;31;D;N;Col;For;0
Radoslaw Zelezny;G;POL;N;19;E;N;Ref;Fle;0
Anass Salah-Eddine;L;MAR;N;24;E;N;Pas;Agi;0
Devyne Rensch;L;NLD;N;23;D;N;Pas;Ace;0
Nahuel Molina;L;ARG;N;28;D;N;Pas;Vel;0
Wesley;L;BRA;N;22;D;S;Pos;Vel;0
Daniele Ghilardi;Z;ITA;N;23;D;S;Des;For;0
Evan Ndicka;Z;CIV;N;26;E;S;Cab;Imp;3
Gianluca Mancini;Z;ITA;N;30;D;S;Mar;For;0
Koulierakis;Z;GRC;N;22;E;N;Des;Vel;0
Leonardo Balerdi;Z;ARG;N;27;D;N;Ant;Vel;0
Mario Hermoso;Z;ESP;N;31;E;S;Pos;Res;0
Bryan Cristante;V;ITA;N;31;D;S;Mar;Con;0
Marten de Roon;V;NLD;N;35;D;S;Mar;Con;0
Manu Koné;M;FRA;N;25;D;S;Pas;Res;3
Niccolò Pisilli;M;ITA;N;21;D;N;Pas;Agi;0
Rodrigo Mora;M;PRT;N;19;D;N;Pas;Agi;5
Matías Soulé;P;ARG;N;23;E;S;Dri;Cri;0
Donyell Malen;A;NLD;N;27;D;N;Cab;Imp;0
Paulo Dybala;A;ARG;S;32;E;S;Pas;Fri;2
Robinio Vaz;A;FRA;N;19;D;N;Dri;Vel;0
Santiago Castro;A;ARG;N;21;D;N;Fin;Res;0
