Sassuolo;ITA;84;Mapei Stadium;Alberto Aquilani;ITA;099902;000000;21500
Arijanet Murić;G;XKX;N;27;D;S;Rbo;Imp;0
Giacomo Satalino;G;ITA;N;27;D;N;Ref;Con;0
Lorenzo Nyarko;G;ITA;N;18;D;N;Ref;Fle;0
Stefano Turati;G;ITA;N;24;D;N;Ref;Fle;0
Edoardo Pieragnolo;L;ITA;N;23;E;N;Cru;Ace;0
Ignace Van der Brempt;L;BEL;N;24;D;N;Cru;Vel;0
Josh Doig;L;SCT;N;24;E;S;Cru;Res;0
Rafa Obrador;L;ESP;N;22;E;N;Pas;Vel;0
Sebastian Walukiewicz;L;POL;N;26;D;N;Pos;For;0
Cas Odenthal;Z;NLD;N;25;D;S;Cab;Imp;0
Duje Caleta-Car;Z;HRV;N;29;D;N;Cab;Imp;0
Fali Candé;Z;GNB;N;28;E;N;Des;Vel;0
Fedde Leysen;Z;BEL;N;23;E;N;Des;Imp;0
Giorgio Vezzosi;Z;ITA;N;19;D;N;Ant;Con;0
Jay Idzes;Z;IDN;N;26;D;N;Pos;Con;0
Daniel Boloca;V;ITA;N;27;D;N;Pas;Agi;0
Ibrahim Sulemana;V;GHA;N;23;D;N;Des;Agi;0
Luca Lipani;V;ITA;N;21;D;N;Pas;Con;0
Nemanja Matić;V;SRB;N;38;E;S;Ant;Con;0
Cristian Volpato;M;ITA;N;22;E;S;Dri;Cri;0
Darryl Bakola;M;FRA;N;18;D;S;Pas;Agi;0
Ismaël Koné;M;CAN;N;24;D;N;Dri;Res;0
Kristian Thorstvedt;M;NOR;N;27;E;N;Fin;Vis;0
Simone Cinquegrano;M;ITA;N;22;D;S;Pas;Res;0
Vasilije Adžić;M;MNE;N;20;D;S;Dri;Agi;0
Armand Laurienté;P;FRA;N;27;D;S;Dri;Ace;0
Benja Domínguez;P;ARG;N;22;D;S;Dri;Cri;0
Domenico Berardi;P;ITA;N;32;E;N;Arm;Cri;0
Kieron Bowie;A;SCT;N;23;E;S;Chu;For;0
Sebastiano Esposito;A;ITA;N;24;D;N;Pas;Fri;0
