Spezia;ITA;62;Alberto Picco;Marco Turati;ITA;FFFFFF;000000;12000
Alessandro Micai;G;ITA;N;32;D;S;Ref;Fle;0
Giuseppe Ciocci;G;ITA;N;24;D;N;Col;For;0
Damiano Cancellieri;L;ITA;N;25;E;S;Des;Res;0
Jérémy Oyono;L;GAB;N;25;D;N;Pos;Vel;0
Samuele Capolupo;L;ITA;N;20;E;N;Cru;Res;0
Ales Mateju;Z;CZE;N;30;D;S;Pos;Res;0
Andrea Bertoncini;Z;ITA;N;20;D;N;Des;Con;0
Jonathan Spedalieri;Z;ITA;N;24;D;N;Cab;Imp;0
Mattia Benvenuto;Z;ITA;N;20;D;N;Pos;Con;0
Motiejus Šapola;Z;LTU;N;20;D;N;Cab;Imp;0
Petko Hristov;Z;BGR;N;27;D;S;Des;For;0
Riccardo Sganzerla;Z;ITA;N;23;E;N;Pos;Con;0
Sergio Kalaj;Z;ALB;N;26;D;N;Pos;For;0
Simone Giorgeschi;Z;ITA;N;22;E;N;Pos;For;0
Galo Capomaggio;V;ARG;N;29;D;S;Pas;For;0
Joselito;V;ESP;N;22;D;S;Pas;Agi;0
Abdoulie Ndow;M;GMB;N;21;D;N;Pas;Agi;0
Aldo Florenzi;M;ITA;N;24;D;N;Dri;Agi;0
Carmelo Limonelli;M;ITA;N;23;D;N;Pas;Vis;0
Kevin Bright;M;ITA;N;23;E;N;Pas;Cri;0
Pietro Candelari;M;ITA;N;21;D;N;Arm;Agi;0
Simone Bastoni;M;ITA;N;29;E;S;Pas;Res;0
Alessandro Cardinali;P;ITA;N;20;D;N;Pas;Agi;0
Kevin Cannavò;P;MLT;N;26;D;S;Fin;Vel;0
Mert Durmush;P;BGR;N;20;E;N;Dri;Vel;0
Denis Cazzadori;A;ITA;N;22;E;N;Pas;Vel;0
Edoardo Soleri;A;ITA;N;28;D;S;Pas;For;0
Giuseppe Di Serio;A;ITA;N;25;D;S;Fin;Res;0
Massimo Zilli;A;ITA;N;23;E;N;Cab;For;0
Simone Mazzocchi;A;ITA;N;27;D;S;Fin;Res;0
