Südtirol;ITA;70;Druso;Davide Possanzini;ITA;FF0000;FFFFFF;5500
Alessandro Plizzari;G;ITA;N;26;D;S;Ref;Fle;0
Rok Vadjunec;G;SVN;N;19;E;N;Ref;Con;0
Federico Davi;L;ITA;N;24;D;N;Pas;Res;0
Hamza El Kaouakibi;L;MAR;N;28;D;N;Des;For;0
Simone Davi;L;ITA;N;26;E;N;Pas;Res;0
Andrea Giorgini;Z;ITA;N;24;D;S;Des;For;0
Davide Veroli;Z;ITA;N;23;E;S;Pos;Vel;0
Giacomo Stabile;Z;ITA;N;21;E;S;Ant;Con;0
Marco Varnier;Z;ITA;N;28;A;N;Pos;Con;0
Mattia Pellini;Z;ITA;N;19;D;N;Cab;Imp;0
Riccardo Stivanello;Z;ITA;N;22;D;S;Pos;For;0
Dhirar Brik;V;TUN;N;18;D;N;Pas;Agi;0
Simone Tronchin;V;ITA;N;23;D;S;Des;Res;0
Aljosa Vasic;M;SRB;N;24;D;S;Dri;Cri;0
Bjarki Bjarkason;M;ISL;N;26;D;S;Pas;Res;0
Fabian Tait;M;ITA;N;33;D;N;Pas;Res;0
Fabio Rispoli;M;ITA;N;19;D;N;Pas;Agi;0
Kevin Zeroli;M;ITA;N;21;D;N;Arm;Res;0
Niklas Pyyhtiä;M;FIN;N;22;E;S;Pas;Res;0
Salvatore Molina;M;ITA;N;34;D;S;Arm;Res;0
Vasco Lopes;P;CPV;N;26;E;S;Dri;Vel;0
Alvin Okoro;A;ITA;N;21;D;N;Dri;Vel;0
Kenny Mixtur;A;GLP;N;22;D;N;Fin;For;0
Lorenzo Anghelè;A;ITA;N;21;D;N;Dri;Vel;0
Rareș Burnete;A;ROU;N;22;D;N;Fin;For;0
