Udinese;ITA;85;Bluenergy Stadium;Kosta Runjaić;DEU;000000;FFFFFF;25000
Bartosz Mrozek;G;POL;N;26;D;N;Rbo;Imp;0
Daniele Padelli;G;ITA;N;40;D;N;Ref;Con;0
Edoardo Piana;G;ITA;N;22;D;N;Ref;For;0
Maduka Okoye;G;NGA;N;27;D;S;Ref;Imp;0
Alessandro Zanoli;L;ITA;N;25;D;N;Cru;Vel;0
Hassane Kamara;L;CIV;N;32;E;S;Des;Vel;0
Mërgim Vojvoda;L;XKX;N;31;D;S;Mar;For;0
Christian Kabasele;Z;BEL;N;35;D;N;Cab;Imp;0
Enzo Ebosse;Z;CMR;N;27;E;N;Pos;Con;0
James Abankwah;Z;IRL;N;22;D;S;Des;For;0
Matteo Palma;Z;DEU;N;18;D;S;Ant;Imp;0
Nicolò Bertola;Z;ITA;N;23;D;N;Des;Imp;0
Oumar Solet;Z;FRA;N;26;D;S;Des;Vel;0
Jesper Karlström;V;SWE;N;31;D;S;Ant;Vis;0
David Pejičić;M;SVN;N;19;D;N;Pas;Res;0
Giorgi Chakvetadze;M;GEO;N;27;D;N;Dri;Cri;0
Jakub Piotrowski;M;POL;N;28;D;S;Chu;Res;0
Juan Arizala;M;COL;N;20;E;N;Dri;Res;0
Jurgen Ekkelenkamp;M;NLD;N;26;D;S;Fin;Res;0
Lennon Miller;M;SCT;N;20;D;N;Pas;Vis;0
Oier Zarraga;M;ESP;N;27;D;N;Pas;Agi;0
Sandi Lovrić;M;SVN;N;28;D;N;Chu;Vis;0
Unai Gómez;M;ESP;N;23;E;N;Dri;Agi;0
Lazar Jovanovic;P;SRB;N;19;E;N;Cru;Cri;0
Giulio Vinciati;A;ITA;N;19;D;N;Fin;Vel;0
Idrissa Gueye;A;SEN;N;19;D;N;Fin;Vel;0
Keinan Davis;A;ENG;N;28;E;S;Fin;For;0
Nicolò Zaniolo;A;ITA;N;27;E;S;Pas;For;0
Vakoun Bayo;A;CIV;N;29;D;N;Pas;Imp;0
