Vicenza;ITA;70;Romeo Menti;Fabio Gallo;ITA;FFFFFF;F70003;13000
Mattia Basso;G;ITA;N;17;D;N;Ref;Fle;0
Riccardo Gagno;G;ITA;N;29;D;S;Ref;Con;0
Riccardo Marchizza;L;ITA;N;28;E;N;Pos;Vel;0
Tommaso Corazza;L;ITA;N;22;D;N;Cru;Ace;0
Andrea Papetti;Z;ITA;N;24;D;N;Des;Con;0
Giuseppe Cuomo;Z;ITA;N;28;D;S;Des;For;0
Matteo Vescovi;Z;ITA;N;21;D;N;Mar;For;0
Maxime Leverbe;Z;FRA;N;29;D;S;Ant;Vel;0
Nicolò Brighenti;Z;ITA;N;37;D;N;Pos;Con;0
Thomas Sandon;Z;ITA;N;23;E;S;Pos;Vel;0
Armand Rada;V;ALB;N;27;E;N;Des;Res;0
Marco Carraro;V;ITA;N;28;E;S;Pas;Vis;0
Alessandro Bellemo;M;ITA;N;31;D;N;Pas;Res;0
Filippo Costa;M;ITA;N;31;E;S;Arm;Vis;0
Giulio Pellizzari;M;ITA;N;22;E;S;Pas;Res;0
Lorenzo Caferri;M;ITA;N;27;D;S;Chu;Vis;0
Loris Zonta;M;ITA;N;29;D;S;Fin;Res;0
Mattia Valoti;M;ITA;N;32;D;N;Chu;Fri;0
Raul Talarico;M;ITA;N;24;D;N;Chu;Res;0
Alessandro Pietrelli;P;ITA;N;23;E;N;Dri;Vel;0
Claudio Morra;A;ITA;N;31;D;S;Fin;For;0
Filippo Alessio;A;ITA;N;21;D;N;Fin;Vel;0
Frank Tsadjout;A;ITA;N;27;E;N;Pas;For;0
Gabriele Moncini;A;ITA;N;30;D;N;Fin;Fri;0
Nicola Rauti;A;ITA;N;26;D;S;Fin;Vel;0
Silvio Merkaj;A;ALB;N;28;D;N;Fin;Res;0
