Gamba Osaka;JPN;78;PANASONIC Stadium Suita;Tomokazu Myojin;JPN;0054A4;000000;39500
Masaaki Higashiguchi;G;JPN;N;40;D;N;Col;Fle;0
Rui Araki;G;JPN;N;18;D;S;Ref;Con;0
Ginjiro Ikegaya;L;JPN;N;22;D;S;Mar;For;0
Riku Handa;L;JPN;N;24;D;N;Mar;For;0
Ryo Hatsuse;L;JPN;N;29;A;S;Cru;For;0
Shinya Nakano;L;JPN;N;23;E;N;Des;Res;0
Takeru Kishimoto;L;JPN;N;29;D;S;Cru;Ace;0
Genta Miura;Z;JPN;N;31;D;N;Cab;For;0
Haruki Ozawa;Z;JPN;N;22;D;N;Cab;For;0
Shinnosuke Nakatani;Z;JPN;N;30;D;S;Mar;Con;4
Shogo Sasaki;Z;JPN;N;26;E;N;Mar;Imp;0
Shota Fukuoka;Z;JPN;N;30;D;N;Pos;Res;0
Rin Mito;V;JPN;N;24;E;S;Des;Res;0
Tokuma Suzuki;V;JPN;N;29;D;N;Pas;Vis;0
Yuki Yoshihara;V;JPN;N;22;D;N;Pas;Vis;0
Juanpe;M;ESP;N;30;D;N;Pas;Agi;0
Shu Kurata;M;JPN;N;37;D;N;Dri;Agi;4
Shuto Abe;M;JPN;N;28;D;S;Pas;Res;0
Eli Adams;P;AUS;N;24;E;N;Fin;Agi;0
Kanji Okunuki;P;JPN;N;27;D;N;Dri;Ace;0
Ryotaro Meshino;P;JPN;N;28;D;N;Dri;Agi;0
Ryoya Yamashita;P;JPN;N;28;D;S;Arm;Vel;0
Taiki Tono;P;JPN;N;19;D;N;Fin;Agi;0
Welton;P;BRA;N;29;A;N;Dri;Vel;0
Asahi Uenaka;A;JPN;N;24;D;N;Fin;Res;0
Daichi Hayashi;A;JPN;N;29;D;N;Dri;For;0
Deniz Hümmet;A;TUR;N;29;D;S;Fin;Vel;0
Gaku Nawata;A;JPN;N;20;D;S;Fin;Fri;0
Issam Jebali;A;TUN;N;34;A;S;Pas;For;0
Takashi Usami;A;JPN;N;34;D;N;Chu;Fri;0
