Kashiwa Reysol;JPN;80;SANKYOFRONTIER Kashiwa Stadium;Ricardo Rodríguez;ESP;FFE600;000000;15000
Kengo Nagai;G;JPN;N;31;D;N;Rbo;Con;0
Ryosuke Kojima;G;JPN;N;29;E;S;Ref;Con;0
Daiki Sugioka;L;JPN;N;27;E;S;Pas;Res;0
Hiromu Mitsumaru;L;JPN;N;33;E;N;Pas;For;0
Wataru Harada;L;JPN;N;30;D;S;Des;For;0
Seiya Baba;Z;JPN;N;24;D;N;Des;Vel;0
Shogo Asada;Z;JPN;N;28;E;N;Cab;Imp;0
Taiyo Koga;Z;JPN;N;27;D;S;Ant;Con;0
Tomoya Inukai;Z;JPN;N;33;D;N;Pos;Imp;4
Kohei Tezuka;V;JPN;N;30;E;N;Pas;Vis;0
Koki Kumasaka;V;JPN;N;25;D;S;Des;Vis;0
Hayato Nakama;M;JPN;N;34;D;N;Fin;Agi;0
Hinata Yamauchi;M;JPN;N;25;D;S;Arm;Agi;0
Kenshin Yuba;M;JPN;N;25;E;N;Dri;Res;0
Makoto Mitsuta;M;JPN;N;27;D;N;Fin;Vis;0
Masaki Watai;M;JPN;N;27;D;N;Pas;Agi;0
Nobuteru Nakagawa;M;JPN;N;24;D;S;Arm;Res;0
Riki Harakawa;M;JPN;N;33;D;N;Chu;Vis;2
Sachiro Toshima;M;JPN;N;30;D;N;Fin;Agi;0
Tojiro Kubo;M;JPN;N;27;D;S;Dri;Agi;0
Yoshio Koizumi;M;JPN;N;29;A;S;Pas;Vis;0
Yudai Konishi;M;JPN;N;28;E;N;Pas;Vis;0
Yuto Yamada;M;JPN;N;26;D;N;Chu;Res;0
Keita Endo;P;JPN;N;28;D;S;Dri;Vel;0
Koya Yuruki;P;JPN;N;31;D;N;Dri;Agi;0
Tomoaki Okubo;P;JPN;N;28;E;N;Dri;Agi;0
Yusuke Segawa;P;JPN;N;32;D;N;Fin;Res;0
Mao Hosoya;A;JPN;N;24;D;N;Fin;Vel;0
Shota Fujio;A;JPN;N;25;D;N;Cab;Res;0
Yuki Kakita;A;JPN;N;29;D;S;Cab;For;0
