Kawasaki Frontale;JPN;77;Uvance Todoroki Stadium;Shigetoshi Hasebe;JPN;3EA3DC;000000;27000
Louis Thébault-Yamaguchi;G;JPN;N;28;D;N;Col;Fle;0
Svend Brodersen;G;DEU;N;29;A;S;Ref;Con;0
Asahi Sasaki;L;JPN;N;26;E;N;Mar;For;0
Hiroto Noda;L;JPN;N;20;D;N;Cru;Agi;0
Reon Yamahara;L;JPN;N;27;D;S;Cru;Res;0
Sota Miura;L;JPN;N;25;E;S;Cru;Vel;0
Yuto Matsunagane;L;JPN;N;21;D;N;Mar;For;0
Filip Uremovic;Z;HRV;N;29;D;N;Mar;For;0
Hiroto Taniguchi;Z;JPN;N;26;D;S;Ant;Imp;0
Pedro Romano;Z;BRA;N;25;D;S;Pos;Con;0
Shunsuke Hayashi;Z;JPN;N;19;D;N;Mar;Con;0
Yuichi Maruyama;Z;JPN;N;37;E;N;Pos;Imp;0
Kento Tachibanada;V;JPN;N;28;D;S;Ant;Res;0
Kota Yui;V;JPN;N;21;D;N;Des;For;0
So Kawahara;V;JPN;N;28;D;N;Pas;Res;0
Ryota Oshima;M;JPN;N;33;D;N;Pas;Vis;0
Shuto Yamaichi;M;JPN;N;22;E;N;Pas;Vis;0
Yasuto Wakizaka;M;JPN;S;31;D;S;Arm;Agi;4
Yuki Yamamoto;M;JPN;N;28;D;S;Pas;Vis;0
Yuto Ozeki;M;JPN;N;21;D;N;Arm;Vis;0
Akihiro Ienaga;P;JPN;N;40;E;N;Pas;Cri;0
Kazuya Konno;P;JPN;N;29;E;N;Dri;Agi;0
Marcinho;P;BRA;N;31;D;S;Fin;Ace;0
Tatsuya Ito;P;JPN;N;29;E;S;Dri;Agi;0
Ten Miyagi;P;JPN;N;25;D;N;Dri;Cri;0
Derik Lacerda;A;BRA;N;26;E;N;Fin;For;0
Kayke Queiroz;A;BRA;N;20;D;N;Fin;Res;0
Kyosuke Mochiyama;A;JPN;N;23;D;N;Fin;For;0
Lazar Romanić;A;SRB;N;28;D;S;Cab;For;0
Yu Kobayashi;A;JPN;N;38;D;N;Fin;Fri;0
