América-MEX;MEX;83;Estadio Azteca;Guillermo Almada;URY;F7E900;00153D;87500
César Lugo;G;MEX;N;23;D;N;Ref;Con;0
Fernando Tapia;G;MEX;N;25;D;N;Rbo;Imp;0
Luis Malagón;G;MEX;S;29;D;N;Col;For;0
Rodolfo Cota;G;MEX;N;39;D;S;Sgo;Con;0
Cristián Borja;L;COL;N;33;E;S;Cru;Res;0
Dagoberto Espinoza;L;MEX;N;22;D;S;Pas;Agi;0
Emilio Lara;L;MEX;N;24;D;N;Des;Ace;0
Franco Rossano;L;MEX;N;21;D;N;Cru;Res;0
Israel Reyes;L;MEX;N;26;D;N;Pas;For;0
Kevin Álvarez;L;MEX;N;27;D;S;Pos;Ace;0
Miguel Vázquez;Z;MEX;N;22;E;S;Des;For;0
Ramón Juárez;Z;MEX;N;25;D;S;Pos;Vel;0
Alan Cervantes;V;MEX;N;28;D;S;Pas;Vis;0
Santiago Naveda;V;MEX;N;25;D;N;Ant;Res;0
Ícaro da Conceição;V;BRA;N;19;D;N;Mar;Agi;0
Alexis Gutiérrez;M;MEX;N;26;E;N;Dri;Cri;0
Lima;M;BRA;N;30;D;N;Fin;Cri;0
Miguel Ramírez;M;MEX;N;24;D;N;Dri;Fri;0
Raphael Veiga;M;BRA;S;31;E;S;Chu;Res;2
Érick Sánchez;M;MEX;N;26;D;S;Pas;Fri;0
Brian Rodríguez;P;URY;S;26;D;N;Dri;Ace;6
Isaías Violante;P;MEX;N;22;E;S;Dri;Res;0
Álex Zendejas;P;USA;N;28;E;N;Cru;Vel;0
Óscar Perea;P;COL;N;20;D;N;Dri;Ace;0
Esteban Lozano;A;MEX;N;23;D;N;Fin;Imp;0
Henry Martin;A;MEX;N;33;D;S;Chu;Imp;0
José Raúl Zúñiga;A;COL;N;32;D;N;Pas;For;0
Miguel Borja;A;COL;N;33;D;N;Fin;Imp;0
Patricio Salas;A;MEX;N;22;E;N;Cab;Res;0
Víctor Dávila;A;CHL;N;28;E;N;Fin;Vel;0
