Monterrey;MEX;80;Estadio BBVA;Matías Almeyda;ARG;0A213E;FFFFFF;53500
César Ramos;G;MEX;N;26;D;N;Col;Fle;0
Esteban Andrada;G;ARG;N;35;D;N;Sgo;Con;0
Luis Cárdenas;G;MEX;N;32;D;S;Ref;Imp;0
Alonso Aceves;L;MEX;N;25;E;S;Cru;Res;0
Gerardo Arteaga;L;MEX;N;27;E;S;Des;Ace;0
Javier Casillas;L;MEX;N;25;D;N;Pos;Res;0
Luis Reyes;L;MEX;N;35;E;N;Mar;Vel;0
Ricardo Chávez;L;MEX;N;31;D;S;Pas;Ace;0
Stefan Medina;L;COL;N;34;D;N;Cru;For;0
Érick Aguirre;L;MEX;N;29;D;N;Mar;For;0
Carlos Salcedo;Z;MEX;N;32;D;S;Mar;For;0
César Bustos;Z;MEX;N;20;D;N;Cab;Res;0
Víctor Guzmán;Z;MEX;N;24;D;N;Mar;Con;0
César Garza;V;MEX;N;21;D;N;Des;Agi;0
Fidel Ambríz;V;MEX;N;23;D;N;Mar;Vis;0
Jorge Rodríguez;V;ARG;N;30;D;S;Pas;Res;0
Iker Fimbres;M;MEX;N;21;D;N;Dri;Vis;0
Orbelín Pineda;M;MEX;N;30;D;N;Pas;Agi;0
Sebastián Rodríguez;M;MEX;N;18;D;N;Fin;Cri;0
Óliver Torres;M;ESP;S;31;D;S;Chu;Res;0
Jesús Corona;P;MEX;N;33;D;S;Dri;Agi;0
Luca Orellano;P;ARG;S;26;E;S;Cru;Cri;0
Lucas Ocampos;P;ARG;N;32;D;S;Dri;Vel;0
Diego Rossi;A;URY;N;28;D;S;Fin;Res;0
Hugo Cuypers;A;BEL;N;29;D;N;Fin;Imp;0
Roberto de la Rosa;A;MEX;N;26;D;N;Pas;For;0
Uros Djurdjevic;A;MNE;N;32;D;N;Cab;Fri;0
