Pachuca;MEX;80;Estadio Hidalgo;Benjamín Mora;MEX;FFFFFF;152473;30000
Carlos Moreno;G;MEX;S;28;D;S;Ref;Con;0
José Eulogio;G;MEX;N;22;D;N;Sgo;Imp;0
Alan Mozo;L;MEX;N;29;D;S;Des;Vel;0
Carlos Sánchez;L;MEX;N;24;D;N;Cru;Res;0
Francisco Venegas;L;MEX;N;28;E;S;Mar;Agi;0
Mauricio Isaís;L;MEX;N;25;E;N;Pas;Ace;0
Andrés Micolta;Z;ECU;N;27;E;N;Mar;Con;0
Eduardo Bauermann;Z;BRA;N;30;D;S;Ant;Vel;0
Jorge Berlanga;Z;MEX;N;23;D;N;Des;Imp;0
Pedro Budib;Z;LBN;N;22;D;N;Pos;For;0
Sergio Barreto;Z;ARG;S;27;D;S;Cab;Res;0
Christian Rivera;V;COL;N;30;D;S;Mar;Res;0
Elías Montiel;V;MEX;N;20;D;S;Pas;Agi;0
Lenin Rodríguez;V;MEX;N;22;D;N;Chu;For;0
Alán Bautista;M;MEX;N;24;D;N;Pas;Fri;0
Rodolfo Pizarro;M;MEX;N;32;D;S;Dri;Cri;0
Alexéi Domínguez;P;MEX;N;21;D;N;Cru;Ace;0
Kenedy;P;BRA;N;30;E;S;Dri;Cri;0
Nicolás Vallejo;P;ARG;N;22;D;N;Cru;Res;0
Oussama Idrissi;P;MAR;S;30;D;S;Pas;Ace;5
Adrián Alcaraz;A;PRY;N;26;D;N;Fin;Imp;0
Illian Hernández;A;MEX;N;26;D;N;Chu;Fri;0
Salomón Rondón;A;VEN;S;36;D;S;Pas;Res;0
