Pumas UNAM;MEX;80;Olímpico Universitario;Esteban Solari;ARG;060C19;BA9252;62500
Keylor Navas;G;CRI;S;39;D;S;Ref;Imp;4
Miguel Paul;G;MEX;N;22;D;N;Col;Fle;0
Pablo Lara;G;MEX;N;21;D;N;Sgo;Con;0
Cristian Calderón;L;MEX;N;29;E;N;Cru;Res;0
Jesús Rivas;L;MEX;N;23;D;N;Mar;For;0
Pablo Bennevendo;L;MEX;N;26;D;N;Pas;Ace;0
Pablo Monroy;L;MEX;N;24;D;N;Cru;For;0
Álvaro Angulo;L;COL;N;29;E;S;Mar;Vel;0
Nathan Silva;Z;BRA;S;29;D;S;Des;Con;0
Rubén Duarte;Z;ESP;N;30;E;S;Mar;Imp;0
Tony Leone;Z;MEX;N;22;D;N;Pos;Res;0
Ángel Azuaje;Z;VEN;N;21;E;N;Mar;Con;0
Santiago Trigos;V;MEX;N;24;D;N;Pas;Vis;0
Víctor Arteaga;V;MEX;N;22;D;S;Mar;Con;0
Carrasquilla;M;PAN;N;27;D;N;Pas;Res;0
Israel Luna;M;MEX;N;24;D;N;Pas;Res;0
Pedro Vite;M;ECU;N;24;E;S;Chu;Vis;3
Rodrigo López;M;MEX;N;24;D;S;Pas;Fri;0
Sebastián Córdova;M;MEX;N;29;E;S;Arm;Cri;0
Ángel Rico;M;MEX;N;21;E;N;Pas;Fri;0
Alan Medina;P;MEX;N;29;D;N;Cru;Res;0
César Huerta;P;MEX;N;25;D;N;Dri;Agi;0
Luciano Herrera;P;ARG;N;30;E;N;Arm;Res;0
Uriel Antuna;P;MEX;N;29;D;S;Cru;Agi;0
Guillermo Martínez;A;MEX;N;31;E;N;Fin;Vel;0
José Juan Macías;A;MEX;N;26;D;N;Cab;Res;0
Juninho;A;BRA;S;29;D;S;Chu;For;0
Robert Morales;A;PRY;N;27;D;S;Fin;Imp;0
Santiago López;A;CAN;N;21;D;N;Dri;Vel;0
