Tigres UANL;MEX;82;Estadio Universitario;Juninho;BRA;F3AA33;015AA5;41500
Antonio Carrera;G;USA;N;22;D;N;Col;For;0
Felipe Rodríguez;G;MEX;N;37;D;N;Ref;Con;0
Nahuel Guzmán;G;ARG;S;40;D;S;Sgo;Fle;4
Fernando Ordóñez;L;MEX;N;25;D;N;Cru;For;0
Jesús Garza;L;MEX;N;26;D;S;Pas;Ace;0
Marco Farfán;L;USA;N;27;E;N;Mar;Vel;0
Osvaldo Rodríguez;L;MEX;N;29;E;N;Des;Agi;0
Vladímir Loroña;L;MEX;N;27;D;S;Mar;For;0
Alan Franco;Z;ARG;N;29;D;N;Mar;For;0
Francisco Reyes;Z;MEX;N;27;D;N;Des;Vel;0
Jesús Angulo;Z;MEX;N;28;E;N;Pos;Imp;0
Joaquim;Z;BRA;N;27;D;S;Des;Res;0
Rafael Guerrero;Z;MEX;N;23;D;N;Mar;Con;0
César Araújo;V;URY;N;25;D;S;Pas;Agi;0
Henrique Simeone;V;MEX;N;19;D;N;Ant;Con;0
Rômulo;V;BRA;N;26;D;S;Mar;For;0
Fernando Gorriarán;M;URY;N;31;D;S;Fin;Agi;0
Juan Brunetta;M;ARG;S;29;D;S;Dri;Fri;0
Juan Pablo Vigón;M;MEX;N;35;D;N;Fin;Res;0
Diego Lainez;P;MEX;S;26;E;S;Pas;Agi;0
Diego Sánchez;P;MEX;N;21;D;N;Cru;Vel;0
Marcelo Flores;P;CAN;N;22;D;N;Arm;Res;0
Mauro Laínez;P;MEX;N;30;E;N;Dri;Cri;0
Ozziel Herrera;P;MEX;N;25;D;S;Fin;Ace;5
Rodrigo Aguirre;A;URY;N;31;E;S;Chu;Fri;0
