Toluca;MEX;85;Estadio Nemesio Diez;Antonio Mohamed;ARG;C9142C;FFFFFF;31000
David Shrem;G;MEX;N;20;D;N;Ref;Con;0
Hugo González;G;MEX;N;36;D;N;Ref;For;0
Luis García;G;MEX;N;33;D;S;Sgo;Fle;0
Ronaldo Beltrán;G;MEX;N;24;D;N;Col;Imp;0
Brian García;L;MEX;N;28;D;N;Cru;Ace;0
Diego Barbosa;L;MEX;N;29;D;N;Pas;Vel;0
Jesús Gallardo;L;MEX;N;31;E;S;Mar;Agi;0
Santiago Simón;L;ARG;N;24;D;S;Des;For;0
Sebastián Aceves;L;MEX;N;20;D;N;Mar;Ace;0
Antonio Briseño;Z;MEX;N;32;D;N;Pos;Con;0
Bruno Méndez;Z;URY;S;26;D;N;Mar;Res;0
Everardo López;Z;MEX;N;21;E;S;Ant;Vel;0
Federico Pereira;Z;URY;N;26;D;S;Des;For;0
Luan;Z;BRA;N;33;D;N;Mar;Res;0
Fernando Arce;V;USA;N;29;D;N;Pas;Vis;0
Franco Romero;V;ARG;N;26;D;S;Mar;Con;0
Marcel Ruiz;M;MEX;N;25;D;N;Chu;Fri;0
Nicolás Castro;M;ARG;N;25;D;N;Dri;Res;0
Víctor Guzmán;M;MEX;N;31;D;N;Pas;Cri;0
Érick Gutiérrez;M;MEX;N;31;E;S;Dri;Cri;0
Alexis Vega;P;MEX;N;28;D;S;Fin;Res;0
Helinho;P;BRA;S;26;E;S;Cru;Ace;5
Jesús Angulo;P;MEX;N;29;E;S;Arm;Agi;0
Pável Pérez;P;MEX;N;28;D;N;Cru;Ace;0
Federico Viñas;A;URY;N;28;E;N;Dri;Res;0
Iván López;A;MEX;N;27;E;N;Cab;For;0
Jorge Díaz Price;A;MEX;N;28;D;S;Fin;Res;0
Oswaldo Virgen;A;MEX;N;21;D;N;Cab;Fri;0
Paulinho;A;PRT;S;33;E;N;Pas;Vel;6
