Feyenoord;NLD;84;Stadion De Kuip;Giovanni van Bronckhorst;NLD;FFFFFF;F70000;47500
Florian Kastenmeier;G;DEU;N;28;D;N;Ref;Con;0
Liam Bossin;G;IRL;N;29;D;N;Col;Con;0
Mannou Berger;G;NLD;N;21;D;N;Sgo;For;0
Tjark Ernst;G;DEU;N;22;D;S;Sgo;Fle;0
Bart Nieuwkoop;L;NLD;N;30;D;S;Pos;For;0
Gijs Smal;L;NLD;N;28;E;S;Mar;Res;0
Givairo Read;L;NLD;S;20;D;N;Cru;Ace;4
Javi López;L;ESP;N;24;E;N;Pos;For;0
Jordan Bos;L;AUS;N;23;E;N;Pas;Vel;0
Jordan Lotomba;L;CHE;N;27;D;S;Mar;Vel;0
Mats Deijl;L;NLD;N;28;D;S;Pas;For;0
Jeremiah St. Juste;Z;NLD;N;29;D;S;Ant;Vel;0
Mika Mármol;Z;ESP;N;25;E;N;Mar;For;0
Thomas Beelen;Z;NLD;N;25;D;N;Ant;Vel;0
Tsuyoshi Watanabe;Z;JPN;N;29;D;S;Ant;Res;0
Charles Vanhoutte;V;BEL;N;27;D;S;Mar;Con;0
Oussama Targhalline;V;MAR;N;24;D;N;Pas;For;0
Thijs Kraaijeveld;V;NLD;N;19;D;N;Chu;Agi;0
Gjivai Zechiël;M;NLD;N;22;D;N;Dri;Vis;0
Jakub Moder;M;POL;N;27;D;S;Pas;Fri;0
Luciano Valente;M;NLD;N;22;D;N;Dri;Cri;0
Sem Steijn;M;NLD;N;24;D;N;Pas;Fri;0
Van den Elshout;M;NLD;N;19;D;N;Fin;Res;0
Anis Hadj Moussa;P;DZA;N;24;E;N;Cru;Vel;0
Gaoussou Diarra;P;MLI;N;23;D;N;Cru;Vel;0
Gonçalo Borges;P;PRT;N;25;D;S;Cru;Cri;0
Reiss Nelson;P;ENG;N;26;D;S;Dri;Agi;0
Nacho Ferri;A;ESP;N;21;D;S;Cab;Imp;0
Shaqueel van Persie;A;NLD;N;19;E;N;Cab;Imp;0
