NEC Nijmegen;NLD;81;Goffertstadion;Dick Schreuder;NLD;017B4C;000000;12500
Freek Entius;G;NLD;N;20;D;N;Col;Imp;0
Gonzalo Crettaz;G;ESP;N;26;D;S;Ref;For;0
Nikolas Polster;G;AUT;N;24;D;S;Ref;Con;0
Almugera Kabar;L;DEU;N;20;E;S;Pas;Res;0
Ahmetcan Kaplan;Z;TUR;N;23;E;N;Mar;Vel;0
Bram Nuytinck;Z;NLD;N;36;E;S;Des;Vel;0
Deveron Fonville;Z;CUW;N;23;E;N;Mar;Res;0
Gabriel Brás;Z;PRT;N;22;D;N;Ant;Con;0
Merijn van de Wiel;Z;NLD;N;20;D;N;Ant;Vel;0
Perr Schuurs;Z;NLD;N;26;D;N;Mar;Res;0
Philippe Sandler;Z;NLD;N;29;D;S;Pos;Vel;0
Tobias Storm;Z;DNK;N;22;D;N;Cab;Imp;0
Darko Nejasmic;V;HRV;N;27;D;S;Ant;For;0
Willumsson;V;ISL;N;27;E;N;Pas;Vis;0
Adam Tahaui;M;MAR;N;21;E;N;Dri;Fri;0
Isak Hansen-Aarøen;M;NOR;N;21;D;N;Pas;Cri;0
Jamiro Monteiro;M;CPV;N;32;D;N;Pas;Agi;0
Noé Lebreton;M;FRA;N;22;D;N;Fin;Agi;0
Sam de Laat;M;NLD;N;20;D;N;Pas;Agi;0
Tjaronn Chery;M;SUR;N;38;E;S;Chu;Fri;0
Vito van Crooij;M;NLD;N;30;D;S;Pas;Cri;0
Ayodele Thomas;P;NLD;N;18;D;N;Dri;Res;0
Clement Bischoff;P;DNK;N;20;D;N;Arm;Cri;0
Dusan Tadic;P;SRB;N;37;E;S;Arm;Cri;0
Emre Mor;P;TUR;N;28;E;N;Dri;Ace;2
Kevin Kers;P;NLD;N;20;D;N;Dri;Vel;0
Bryan Linssen;A;NLD;N;35;D;S;Chu;For;0
Kaj Sierhuis;A;NLD;N;28;D;S;Fin;For;0
