Twente;NLD;83;De Grolsch Veste;John van den Brom;NLD;DA0029;FFFFFF;30000
Issam El Maach;G;MAR;N;26;D;N;Ref;Imp;0
Joël Drommel;G;NLD;N;29;D;N;Sgo;For;0
Lars Unnerstall;G;DEU;N;36;D;S;Col;For;0
Remko Pasveer;G;NLD;N;42;D;N;Rbo;Imp;0
Yannick Gerritsen;G;NLD;N;20;D;N;Col;Imp;0
Aske Adelgaard;L;DNK;N;22;E;S;Cru;For;0
Bart van Rooij;L;NLD;N;25;D;S;Pas;Vel;0
Guilherme Peixoto;L;PRT;N;20;D;N;Pas;Ace;0
Krzysztof Kurowski;L;POL;N;20;E;N;Cru;Vel;0
Juliën Mesbahi;Z;MAR;N;20;D;N;Des;Con;0
Max Bruns;Z;NLD;N;23;D;N;Des;Vel;0
Robin Pröpper;Z;NLD;N;32;D;S;Pos;For;0
Ruud Nijstad;Z;NLD;N;18;E;S;Ant;Vel;0
Stav Lemkin;Z;ISR;N;23;D;N;Cab;Imp;0
Jordy Bawuah;V;BEL;N;19;E;N;Mar;Vis;0
Ramiz Zerrouki;V;DZA;N;28;D;S;Pas;Vis;0
Thomas van den Belt;V;NLD;N;25;D;N;Des;Con;0
Daouda Weidmann;M;FRA;N;23;D;S;Chu;Agi;0
Gijs Besselink;M;NLD;N;22;D;N;Pas;Cri;0
Kristian Hlynsson;M;ISL;N;22;D;N;Fin;Vis;0
Daan Rots;P;NLD;N;25;E;S;Cru;Vel;0
Filip Thorvaldsen;P;NOR;N;20;D;N;Dri;Ace;0
Marko Pjaca;P;HRV;N;31;D;S;Dri;Cri;0
Naci Ünüvar;P;TUR;N;23;D;N;Dri;Vel;0
Sondre Ørjasæter;P;NOR;N;22;D;S;Pas;Vel;0
Taylor Booth;P;USA;N;25;D;N;Fin;Cri;0
Younes Taha;P;MAR;N;23;E;N;Fin;Vel;0
Sam Lammers;A;NLD;N;29;A;N;Cab;Imp;0
Vennegoor of Hesselink;A;NLD;N;20;A;N;Cab;Imp;0
Wout Weghorst;A;NLD;N;34;D;S;Fin;Imp;0
