Utrecht;NLD;80;Stadion Galgenwaard;Anthony Correia;NLD;E6192E;000000;23500
Kevin Gadellaa;G;NLD;N;23;D;N;Col;Imp;0
Vasilios Barkas;G;GRC;N;32;E;S;Ref;Con;0
Arthur Zagré;L;BFA;N;24;E;S;Pas;Vel;0
Niklas Vesterlund;L;DNK;N;27;D;S;Mar;Vel;0
Siebe Horemans;L;BEL;N;28;D;S;Cru;Res;0
Ferdinand Pohl;Z;DEU;N;19;D;N;Ant;For;0
Guus Offerhaus;Z;NLD;N;25;D;S;Des;Imp;0
Jakov Medic;Z;HRV;N;27;D;N;Des;For;0
Jamie Schuldes;Z;DEU;N;19;D;N;Pos;Vel;0
Matisse Didden;Z;BEL;N;24;D;N;Des;Con;0
Neville Ogidi Nwankwo;Z;NLD;N;23;D;N;Pos;Vel;0
Alonzo Engwanda;V;BEL;N;23;D;S;Pas;Vis;0
Jaygo van Ommeren;V;NLD;N;18;D;N;Ant;Agi;0
Joris van Overeem;V;NLD;N;32;D;S;Mar;For;0
Oualid Agougil;V;MAR;N;20;E;N;Mar;Res;0
Dani de Wit;M;NLD;N;28;D;S;Pas;Agi;0
Davy van den Berg;M;NLD;N;26;E;N;Chu;Vis;0
Victor Jensen;M;DNK;N;26;D;S;Pas;Cri;0
Adrian Blake;P;ENG;N;20;D;N;Dri;Vel;0
Emmanuel Chigozie Owen;P;DEU;N;19;E;N;Dri;Vel;0
Kevin Paredes;P;USA;N;23;E;N;Dri;Vel;0
Miliano Jonathans;P;IDN;N;22;E;N;Fin;Ace;0
Nordin Amrabat;P;MAR;N;39;D;N;Pas;Cri;0
Yoann Cathline;P;FRA;N;23;D;S;Fin;Vel;0
Ángel Alarcón;P;ESP;N;22;D;N;Arm;Vel;0
Artem Stepanov;A;UKR;N;18;D;N;Cab;Imp;0
Noah Ohio;A;NLD;N;23;E;S;Chu;Vel;0
