AD Fafe;PRT;58;Estádio Municipal de Fafe;Mário Ferreira;PRT;FFCC00;000000;4000
Guilherme Carneiro;G;PRT;N;18;D;N;Sgo;Fle;0
Léo Ferreira;G;PRT;N;25;D;N;Ref;Con;0
Petr Kudakovskiy;G;RUS;N;25;D;S;Col;Imp;0
Benny;L;PRT;N;21;D;N;Cru;Agi;0
Breno;L;PRT;N;26;E;S;Mar;Res;0
Kuffour Asamoah;L;GHA;N;20;D;N;Pas;Ace;0
Obama;L;PRT;N;24;D;S;Des;Vel;0
Sequeira;L;PRT;N;36;E;S;Pos;For;0
João Batista;Z;PRT;N;28;D;S;Pos;Con;0
Leandro Teixeira;Z;PRT;N;28;E;S;Des;For;0
Pedro Pereira;Z;PRT;N;24;D;S;Ant;For;0
Filipe Cardoso;V;PRT;N;32;D;N;Ant;Vis;0
Daniel Carvalho;M;PRT;N;22;D;N;Chu;Fri;0
Dinis Gama;M;PRT;N;22;D;N;Arm;Vis;0
Duarte Carvalho;M;PRT;N;24;D;N;Fin;Res;0
Mimito Biai;M;GNB;N;28;D;S;Pas;Agi;0
Prince Otumba;M;COD;N;21;D;N;Dri;Cri;0
Carlos Daniel;P;BRA;N;24;E;S;Dri;Ace;0
Picas;P;AGO;N;25;D;N;Fin;Agi;0
Tiago Veiga;P;PRT;N;26;E;S;Cru;Vel;0
Elijah Alao;A;NGA;N;22;D;N;Dri;Vel;0
Mário Correia;A;PRT;N;24;D;S;Cab;For;0
Rafael Martins;A;BRA;N;37;D;N;Fin;Fri;0
