Alverca;PRT;78;Cpx. Desportivo FC Alverca;Sérgio Ferreira;PRT;023197;F51C0C;6500
André Paulo;G;PRT;N;29;D;N;Col;Con;0
Jhonatan;G;BRA;N;35;D;N;Ref;Con;0
Mateus;G;BRA;N;24;D;N;Col;Imp;0
Matheus Mendes;G;BRA;N;27;D;S;Sgo;Imp;0
Noah Raveyre;G;FRA;N;21;D;N;Ref;Imp;0
Chissumba;L;PRT;N;21;E;S;Pos;Res;0
Diogo Spencer;L;PRT;N;22;D;N;Cru;Ace;0
Isaac James;L;NGA;N;21;E;S;Cru;For;0
Toni Tamarit;L;ESP;N;20;D;N;Des;Res;0
Bastien Meupiyou;Z;FRA;N;20;E;S;Des;Imp;0
Julián Martínez;Z;HND;N;22;E;N;Ant;Con;0
Sergi Gómez;Z;ESP;N;34;D;S;Pos;Con;0
Steven Baseya;Z;FRA;N;21;D;N;Pos;For;0
Yaya Bojang;Z;GMB;N;21;D;N;Mar;Vel;0
Sabit Abdulai;V;GHA;N;27;D;S;Des;For;0
Vasco Moreira;V;PRT;N;25;D;N;Pas;Con;0
Zé Rafael;V;BRA;N;32;D;N;Des;Agi;0
Davy Gui;M;CIV;N;20;D;S;Pas;Cri;0
Lucca Giuntini;M;ITA;N;20;D;N;Fin;Agi;0
Tiago Octávio;M;PRT;N;22;D;N;Pas;Vis;0
Zakaria Kassary;M;MAR;N;20;D;N;Pas;Agi;0
André Vidigal;P;AGO;N;28;D;N;Dri;Ace;0
Chiquinho;P;PRT;N;26;D;S;Arm;Cri;0
Cédric Nuozzi;P;BEL;N;20;D;S;Dri;Ace;0
Figueiredo;P;BRA;N;24;D;S;Fin;Vel;0
Marco Essimi;P;FRA;N;27;D;N;Arm;Agi;0
Nabil Touaizi;P;MAR;N;25;D;S;Cru;Ace;0
Stéphane Diarra;P;CIV;N;27;E;N;Dri;Vel;0
Samy Jr. Merheg;A;LBN;N;19;D;N;Fin;For;0
Vivaldo Semedo;A;PRT;N;21;E;N;Fin;For;0
