Atlético CP;PRT;58;Estádio da Tapadinha;Pedro Basto D'Oliveira;PRT;E5A93C;1E3A8A;4000
José Bolivar;G;VEN;N;21;D;N;Ref;Fle;0
Nuno Hidalgo;G;PRT;N;34;D;S;Col;Con;0
Rodrigo Dias;G;PRT;N;25;D;N;Rbo;Imp;0
Dinamite;L;PRT;N;31;E;S;Cru;For;0
Janico;L;PRT;N;24;D;N;Des;Vel;0
Vicente Durand;L;PRT;N;22;E;N;Pos;Ace;0
Alison Calegari;Z;BRA;N;25;D;S;Mar;For;0
Bura;Z;PRT;N;37;D;S;Cab;Imp;0
Duarte Henriques;Z;PRT;N;23;E;N;Pos;Con;0
Edu Monteiro;Z;PRT;N;24;E;N;Ant;For;0
Rafael Tavares;Z;PRT;N;24;D;N;Des;Vel;0
Mohamed Konaté;V;CIV;N;21;D;N;Mar;For;0
Ricardo Dias;V;PRT;N;35;D;S;Pas;Con;0
Bernardo Lourenço;M;PRT;N;24;D;S;Pas;Agi;0
Caleb;M;BRA;N;33;D;S;Arm;Vis;0
César Sousa;M;AGO;N;26;D;S;Dri;Res;0
Caio Santana;P;BRA;N;22;D;N;Cru;Ace;0
Edgar Pacheco;P;PRT;N;26;D;S;Dri;Vel;0
Eric Oliveira;P;PRT;N;19;D;N;Arm;Agi;0
Santi Hernández;P;COL;N;24;D;N;Pas;Cri;0
Solo Traoré;P;ESP;N;20;A;N;Fin;Agi;0
Diego Arezes;A;PRT;N;21;D;N;Pas;Vel;0
Hélder Suker;A;CPV;N;27;D;S;Cab;For;0
Nicolas Souza;A;BRA;N;25;D;S;Fin;Vel;0
Nuno Gaspar;A;PRT;N;22;E;N;Dri;Vel;0
