AVS;PRT;69;Clube Desportivo das Aves;Sérgio Fonseca;PRT;AD252B;FFFFFF;6000
Dani Rebollo;G;ESP;N;26;D;S;Ref;Fle;0
Estevão;G;BRA;N;22;D;N;Col;Fle;0
Lucas Moura;G;BRA;N;22;E;N;Col;Con;0
Daniel Rivas;L;PRY;N;24;E;S;Mar;Res;0
Kiki;L;PRT;N;31;E;S;Mar;For;0
Mateus Pivô;L;BRA;N;28;D;N;Mar;Agi;0
Aderllan Santos;Z;BRA;N;37;D;S;Cab;Imp;0
Bernardo Conde;Z;FRA;N;19;D;N;Mar;For;0
Davi Schuindt;Z;BRA;N;22;D;N;Mar;For;0
Lazar Rosic;Z;SRB;N;33;D;S;Cab;For;0
Ponck;Z;CPV;N;35;D;S;Mar;Con;0
Rúben Semedo;Z;PRT;N;32;D;S;Des;For;0
Fernando Almeida;V;PRT;N;24;D;N;Mar;For;0
Roni;V;BRA;N;27;D;N;Chu;Con;0
Ángel Algobia;V;ESP;N;27;D;S;Mar;For;0
Abdoulaye Keita;P;ESP;N;23;D;N;Dri;Agi;0
Andre Green;P;ENG;N;27;D;N;Dri;Vel;0
Guilherme Neiva;P;BRA;N;25;D;N;Arm;Cri;0
Jorge Meireles;P;PRT;N;22;D;N;Arm;Agi;0
Ruan Assis;P;BRA;N;22;D;S;Fin;Ace;0
Tunde Akinsola;P;NGA;N;23;A;S;Arm;Cri;0
Nenê;A;BRA;N;42;D;S;Fin;Fri;0
Rodrigo Pinho;A;BRA;N;34;E;N;Fin;Fri;0
Talles Wander;A;BRA;N;22;D;N;Fin;Vel;0
