Benfica B;PRT;70;Benfica Campus;Nélson Veríssimo;PRT;FF0000;FFFFFF;2500
Arnas Voitinovičius;G;LTU;N;19;D;N;Col;Imp;0
Diogo Ferreira;G;PRT;N;19;E;S;Col;Con;0
Daniel Banjaqui;L;PRT;N;18;D;S;Mar;Vel;0
José Neto;L;PRT;N;18;E;S;Cru;Ace;0
Kevin Pinto;L;PRT;N;19;D;N;Pos;For;0
Leandro Martins;L;PRT;N;20;E;N;Mar;Agi;0
Joshua Wynder;Z;USA;N;21;D;N;Cab;Imp;0
João Fonseca;Z;PRT;N;19;D;S;Ant;For;0
Rui Silva;Z;PRT;N;19;D;S;Pos;Con;0
Martim Ferreira;V;PRT;N;20;D;S;Pas;Res;0
Nuno Félix;V;PRT;N;22;D;N;Pas;Agi;0
Rafael Luís;V;PRT;N;21;E;N;Chu;Res;0
Federico Coletta;M;ITA;N;19;D;N;Fin;Agi;0
Gonçalo Moreira;M;PRT;N;20;D;S;Arm;Vis;0
Miguel Figueiredo;M;PRT;N;18;D;S;Pas;Fri;0
Tiago Freitas;M;PRT;N;19;D;N;Arm;Agi;0
Tomás Moreira;M;LUX;N;21;D;S;Pas;Agi;0
Bernardes;P;PRT;N;19;D;N;Dri;Agi;0
Dudu;P;PRT;N;19;D;N;Fin;Ace;0
Olivio Tomé;P;PRT;N;20;E;S;Dri;Agi;0
Felipe Lima;A;BRA;N;20;D;N;Dri;Vel;0
Francisco Silva;A;PRT;N;18;D;N;Fin;Imp;0
Jelani Dumas;A;BEL;N;21;D;S;Fin;Fri;0
Peter Edokpolor;A;NGA;N;19;D;N;Fin;For;0
