Braga;PRT;86;Municipal de Braga;Carlos Vicens;ESP;E80C0C;FFFFFF;30000
Bernardo;G;BRA;N;23;E;S;Ref;Fle;0
João Carvalho;G;PRT;N;22;D;N;Col;For;0
Tiago Sá;G;PRT;N;31;D;N;Ref;Imp;0
Bartlomiej Wdowik;L;POL;N;25;E;N;Cru;Ace;0
Diogo Travassos;L;PRT;N;22;D;N;Des;Agi;0
Víctor Gómez;L;ESP;N;26;D;S;Pas;Agi;0
Adrian Bajrami;Z;CHE;N;24;E;N;Pos;Imp;0
Adrian Leon Barisic;Z;BIH;N;24;D;N;Cab;Imp;0
Bright Arrey-Mbi;Z;DEU;N;23;E;S;Des;Vel;0
Gustaf Lagerbielke;Z;SWE;N;26;D;S;Cab;Con;0
Jonatás Noro;Z;PRT;N;21;D;N;Ant;Vel;0
Sergio Barcia;Z;ESP;N;25;D;S;Ant;Vel;0
Sikou Niakaté;Z;MLI;N;27;E;N;Cab;Con;0
Demir Ege Tıknaz;V;TUR;N;21;D;N;Des;Con;0
Tommy Marqués;V;ESP;N;19;D;S;Pas;Vis;0
Vítor Carvalho;V;BRA;N;29;D;N;Pas;Res;0
Denis Huseinbasic;M;BIH;N;25;D;N;Pas;Vis;0
Diego Rodrigues;M;PRT;N;21;D;N;Chu;Vis;0
Gorby;M;FRA;N;23;D;N;Pas;Agi;0
João Moutinho;M;PRT;S;39;D;S;Pas;Vis;6
Luisinho;M;PRT;N;19;E;N;Dri;Cri;0
Mario Dorgeles;M;CIV;N;21;E;N;Pas;Cri;0
Gabri Martínez;P;ESP;N;23;D;N;Fin;Res;0
Gabriel Silva;P;BRA;N;24;D;S;Fin;Vel;0
João Aragão;P;PRT;N;18;D;N;Dri;Agi;0
Ricardo Horta;P;PRT;S;31;D;S;Pas;Cri;0
Fran Navarro;A;ESP;N;28;D;S;Cab;Imp;0
Jonas Wind;A;DNK;N;27;D;N;Cab;For;0
Jovan Milosevic;A;SRB;N;20;D;N;Fin;Fri;0
Pau Víctor;A;ESP;N;24;D;S;Fin;For;0
