Chaves;PRT;69;Eng. Manuel Branco Teixeira;Vítor Martins;PRT;003E80;D9031C;8000
João Valido;G;PRT;N;26;D;S;Col;Imp;0
Marko Gudžulić;G;SRB;N;24;D;N;Ref;Fri;0
Thiago Pereira;G;PRT;N;22;D;N;Col;Imp;0
Aarón Romero;L;ESP;N;27;E;N;Pos;Agi;0
Antony Herbert;L;PAN;N;21;D;N;Pos;Agi;0
Ivo Vázquez;L;MEX;N;25;E;N;Cru;Agi;0
Kiko;L;PRT;N;26;E;S;Des;For;0
Léo Alaba;L;BRA;N;27;D;S;Cru;Ace;0
Bruno Rodrigues;Z;PRT;N;25;D;S;Des;For;0
Mamadou Tounkara;Z;MLI;N;24;D;N;Mar;For;0
Ricardo Alves;Z;PRT;N;35;E;N;Ant;Con;0
Tiago Simões;Z;PRT;N;26;E;S;Cab;Imp;0
Brice Eboudjé;V;CMR;N;21;D;N;Des;Res;0
Gilberto García;V;MEX;N;26;D;N;Mar;For;0
Di Cardoso;M;PRT;N;21;A;N;Dri;Agi;0
Dru Yearwood;M;ENG;N;26;D;N;Pas;Res;0
João Teixeira;M;PRT;N;32;D;N;Arm;Vis;0
Ktatau;M;BRA;N;25;D;S;Pas;Res;0
Pedro Pelágio;M;PRT;N;26;D;N;Pas;Res;0
Rodrigo Melro;M;PRT;N;22;D;N;Fin;Fri;0
André Rodrigues;P;PRT;N;28;A;S;Fin;Agi;0
Costinha;P;PRT;N;25;D;S;Dri;Agi;0
Lucas Lima;P;CAN;N;19;A;N;Fin;Ace;0
Robyn Esajas;P;NLD;N;24;E;S;Cru;Res;0
Armando Jr;A;ESP;N;24;D;N;Pas;For;0
Divin Muteba;A;COD;N;22;D;N;Dri;Vel;0
GB;A;BRA;N;21;D;N;Cab;For;0
Marquinhos;A;BRA;N;23;D;S;Fin;For;0
Roberto;A;PRT;N;37;D;S;Fin;Fri;0
Wilson Tavares;A;CPV;N;24;E;N;Cab;Imp;0
