Estoril Praia;PRT;78;António Coimbra da Mota;Ian Cathro;PRT;FFFF00;0070E0;8000
Diogo Dias;G;PRT;N;23;D;N;Ref;Con;0
Joel Robles;G;ESP;N;36;D;S;Sgo;Con;0
Martin Turk;G;SVN;N;22;E;N;Ref;Fle;0
Diogo Brasido;L;PRT;N;23;D;N;Pas;Vel;0
Fernando Medrano;L;ESP;N;26;E;S;Cru;Res;0
Gonçalo Costa;L;PRT;N;26;E;N;Pas;Agi;0
Pedro Carvalho;L;PRT;N;23;D;S;Pas;Vel;0
Ricard Sánchez;L;ESP;N;26;D;S;Pos;Res;0
Tiago Parente;L;PRT;N;22;E;N;Cru;Vel;0
Antef Tsoungui;Z;BEL;N;23;D;N;Ant;Con;0
Ferro;Z;PRT;N;29;D;S;Cab;Imp;0
Ismael Sierra;Z;ESP;N;23;D;N;Des;For;0
Jordan Arnolin;Z;PRT;N;18;D;N;Des;Vel;0
Stelios Andreou;Z;CYP;N;24;D;N;Mar;Con;0
Xavi Sintes;Z;ESP;N;24;D;N;Ant;For;0
Jordan Holsgrove;V;SCT;S;26;E;S;Pas;For;0
Tiago Brito;V;PRT;N;22;D;N;Des;Res;0
João Carvalho;M;PRT;N;29;D;S;Pas;Vis;0
Luís Gomes;M;PRT;N;22;D;N;Arm;Res;0
Xeka;M;PRT;N;31;A;S;Chu;Res;0
André Lacximicant;P;PRT;N;25;E;S;Pas;Ace;0
Fabrício Garcia;P;CPV;N;25;E;N;Dri;Agi;0
Peixinho;P;PRT;N;22;E;N;Dri;Ace;0
Rafik Guitane;P;DZA;N;27;E;S;Dri;Ace;0
Israel Salazar;A;ESP;N;23;D;N;Fin;Vel;0
Khayon Edwards;A;JAM;N;22;D;N;Fin;Imp;0
Yanis Begraoui;A;MAR;S;25;A;S;Fin;Fri;0
