Famalicão;PRT;83;Municipal de Famalicão;Carlos Carvalhal;PRT;2B489C;FFFFFF;5000
Ivan Zlobin;G;RUS;N;29;D;N;Ref;Fle;0
Lazar Carević;G;MNE;N;27;D;S;Ref;Con;0
Garcia;L;BRA;N;24;D;S;Cru;Agi;0
Leny Meyer;L;CHE;N;22;E;N;Cru;Res;0
Pedro Bondo;L;AGO;N;21;E;S;Des;For;0
Rodrigo Pinheiro;L;PRT;N;23;D;S;Cru;For;0
Finn van Breemen;Z;NLD;N;23;E;N;Ant;For;0
Léo Realpe;Z;ECU;N;25;D;S;Des;Vel;0
Vojin Serafimovic;Z;SRB;N;20;E;N;Cab;Imp;0
Marcos Peña;V;ESP;N;21;D;N;Des;For;0
Tom van de Looi;V;NLD;N;27;D;S;Mar;Con;0
Mathias de Amorim;M;PRT;N;21;D;S;Dri;Res;0
Mathis Jangéal;M;FRA;N;18;D;N;Pas;Agi;0
Paulo Moreira;M;PRT;N;26;D;N;Fin;Agi;0
Tamás Szűcs;M;HUN;N;21;D;N;Pas;Vis;0
Gil Dias;P;PRT;S;29;E;S;Cru;Res;0
Pedro Santos;P;PRT;N;23;E;S;Dri;Cri;0
Roméo Beney;P;CHE;N;21;D;N;Fin;Ace;0
Sorriso;P;BRA;N;25;D;S;Cru;Vel;0
Óscar Aranda;P;ESP;N;24;D;N;Dri;Agi;0
Georgios Koutsias;A;GRC;N;22;A;N;Fin;Vel;0
Rudi Almeida;A;PRT;N;21;D;N;Fin;Fri;0
Umar Abubakar;A;NGA;N;20;D;S;Fin;Imp;0
