Feirense;PRT;69;Marcolino de Castro;Mário Nunes;PRT;2E266E;FFFFFF;5000
Diego Altube;G;ESP;N;26;D;N;Rbo;Con;0
Francisco Meixedo;G;PRT;N;25;D;S;Col;Con;0
André Lopes;L;PRT;N;24;E;S;Cru;Res;0
Bruno Silva;L;BRA;N;33;E;S;Pos;Agi;0
Diego Moreno;L;ESP;N;24;E;N;Cru;Ace;0
Jójó;L;PRT;N;27;D;S;Mar;For;0
Luiz Gustavo;L;BRA;N;26;D;S;Cru;Vel;0
Antonio Leal;Z;ESP;N;27;D;S;Des;For;0
Edgar Ié;Z;GNB;N;32;D;N;Mar;Vel;0
Kaiquy;Z;BRA;N;20;D;N;Cab;Imp;0
Pedro Pinto;Z;PRT;N;31;A;N;Pos;Con;0
Samad Popoola;V;NGA;N;21;D;S;Ant;Agi;0
Tiago Antunes;V;PRT;N;23;A;N;Des;Res;0
Gui Meira;M;BRA;N;21;D;S;Fin;Fri;0
Gui Santos;M;PRT;N;21;D;N;Pas;Agi;0
Isaac;M;BRA;N;22;D;N;Dri;Agi;0
Tiago Castro;M;PRT;N;30;E;N;Pas;Res;0
Adegboyega Ola;P;NGA;N;20;D;N;Dri;Vel;0
Adriel Moraes;P;BRA;N;20;E;N;Arm;Agi;0
Danny;P;PRT;N;25;D;N;Fin;Vel;0
Jonny Arriba;P;ESP;N;24;D;N;Arm;Cri;0
Luís dos Santos;P;PRT;N;26;D;S;Arm;Res;0
Pedrinho;P;BRA;N;22;E;S;Fin;Ace;0
Piri;P;ESP;N;23;D;N;Cru;Ace;0
Alexandre Guedes;A;PRT;N;32;D;N;Pas;For;0
Arthur Viana;A;BRA;N;22;D;N;Fin;Vel;0
Desmond Nketia;A;GHA;N;25;D;S;Pas;For;0
