Felgueiras;PRT;69;Doutor Machado de Matos;Moreno;PRT;600229;006BBD;7500
Eduardo Esteves;G;PRT;N;23;D;N;Ref;Fle;0
Felipe Scheibig;G;BRA;N;26;D;N;Ref;Fri;0
Mateus Pasinato;G;BRA;N;34;D;S;Ref;Fle;0
Afonso Freitas;L;PRT;N;26;E;S;Pos;Agi;0
Afonso Peixoto;L;PRT;N;23;E;N;Pos;For;0
Armando Lopes;L;PRT;N;27;E;N;Pos;For;0
Bilal Ouacharaf;L;MAR;N;24;D;N;Pas;Res;0
Filipe Cruz;L;PRT;N;24;D;S;Pas;Res;0
Dudu Cruz;Z;BRA;N;21;D;S;Mar;For;0
Dário;Z;BRA;N;22;E;N;Des;For;0
João Pinto;Z;PRT;N;26;D;N;Ant;Con;0
Samuel Vivas;Z;PRT;N;22;E;S;Mar;For;0
Francisco França;V;PRT;N;24;E;S;Mar;For;0
Henrique Martins;V;PRT;N;28;D;N;Des;Con;0
Beni Jetour;M;AGO;N;21;D;N;Pas;Agi;0
Diogo Batista;M;PRT;N;26;D;N;Pas;Vis;0
Landinho;M;PRT;N;33;D;S;Fin;Res;0
Marcello Cominato;M;ITA;N;21;D;N;Fin;Agi;0
Marco Ribeiro;M;PRT;N;21;D;N;Pas;Vis;0
Michel Costa;M;BRA;N;24;E;S;Pas;Agi;0
Rodrigo Ribeiro;M;PRT;N;20;D;S;Pas;Agi;0
Tiago Ventura;M;PRT;N;24;D;N;Arm;Agi;0
Gustavo Mendes;P;BRA;N;20;D;N;Dri;Agi;0
Joãozinho;P;PRT;N;29;E;N;Dri;Ace;0
Samuel;P;BRA;N;22;D;N;Fin;Vel;0
João Bom;A;BRA;N;21;D;N;Dri;For;0
Lucas Duarte;A;BRA;N;25;D;S;Fin;Fri;0
Mario Rivas;A;ESP;N;26;D;S;Fin;Fri;0
Tiago Leite;A;PRT;N;26;D;N;Fin;Vel;0
