Lusitânia Lourosa;PRT;68;Lusitânia de Lourosa FC;Ricardo Silva;PRT;FCDA00;000000;4500
Gabriel Souza;G;BRA;N;29;D;N;Col;Imp;0
Marco Ribeiro;G;PRT;N;31;D;N;Col;Imp;0
Vítor Hugo;G;BRA;N;24;D;S;Ref;Fle;0
Francisco Machado;L;PRT;N;21;E;N;Mar;Vel;0
Luís Rocha;L;PRT;N;33;E;S;Des;Res;0
Ricardinho;L;PRT;N;32;D;N;Pas;Agi;0
Bruno Faria;Z;PRT;N;21;E;N;Ant;Con;0
Dylan Collard;Z;MUS;N;26;D;S;Cab;Imp;0
Guilherme Soares;Z;PRT;N;25;D;N;Des;For;0
Josué Sá;Z;PRT;N;34;D;S;Pos;Con;0
Silvério;Z;PRT;N;30;A;S;Cab;Con;0
António Montez;V;PRT;N;24;D;N;Mar;For;0
Diogo Paulo;V;PRT;N;25;E;S;Pas;Vis;0
Nicolas Ortiz;V;BRA;N;19;D;N;Ant;Con;0
André Ricardo;M;PRT;N;25;A;N;Dri;Agi;0
Fabinho;M;PRT;N;31;D;S;Chu;Vis;0
Miguel Teixeira;M;PRT;N;22;D;S;Pas;Vis;0
Arsénio;P;PRT;N;36;D;S;Arm;Cri;0
Danny;P;BRA;N;28;D;N;Pas;Cri;0
João Santos;P;PRT;N;27;D;N;Dri;Vel;0
Manel;P;PRT;N;19;D;N;Fin;Ace;0
Mika Borges;P;PRT;N;29;D;N;Arm;Agi;0
Paulité;P;PRT;N;25;D;S;Fin;Ace;0
Saliou Mandiang;P;SEN;N;23;D;N;Fin;Vel;0
Iuri Moreira;A;PRT;N;22;D;N;Pas;For;0
João Silva;A;PRT;N;36;D;S;Cab;For;0
