Marítimo;PRT;79;Estádio do Marítimo;Mitchell van der Gaag;NLD;258A5B;D1020D;10500
Alfonso Pastor;G;ESP;S;25;D;S;Col;Imp;0
Fran Vieites;G;ESP;N;27;E;N;Ref;Fle;0
Gonçalo Tabuaço;G;PRT;N;25;D;N;Ref;Fri;0
Kimiss Zavala;G;MOZ;N;22;D;N;Ref;Fle;0
Igor Julião;L;BRA;N;32;D;S;Des;For;0
Nathanael Ogbeta;L;ENG;N;25;E;N;Cru;Vel;0
Nilton;L;PRT;N;25;E;N;Cru;Vel;0
Paulo Henrique;L;PRT;N;29;D;S;Pos;For;0
Tomás Tavares;L;PRT;N;25;D;N;Cru;Vel;0
Gábor Szalai;Z;HUN;N;26;E;N;Cab;Imp;0
Rafael Fernandes;Z;PRT;N;24;D;S;Cab;For;0
Romain Correia;Z;PRT;N;26;D;S;Des;Con;0
Francisco Silva;V;PRT;N;19;D;N;Mar;Res;0
Rodri Andrade;V;PRT;N;24;D;S;Mar;Agi;0
Vladan Danilović;V;BIH;N;27;D;S;Des;For;0
Ibrahim Alani;M;NGA;N;20;D;N;Pas;Agi;0
Israel Isaac Ayuma;M;NGA;N;21;D;N;Pas;Vis;0
Maxime Dominguez;M;CHE;N;30;E;N;Pas;Agi;0
Nélio Batista;M;PRT;N;17;D;N;Pas;Agi;0
Raphael Guzzo;M;PRT;N;31;D;S;Pas;Vis;0
Yellu Santiago;M;ESP;N;22;D;N;Dri;Agi;0
Bryan Limbombe;P;BEL;N;25;D;N;Dri;Agi;0
Martín Tejón;P;ESP;N;22;D;S;Fin;Cri;0
Peña Zauner;P;VEN;N;26;D;N;Dri;Agi;0
Samuel Bamba;P;DEU;N;22;A;N;Pas;Vel;0
Simo Bouzaidi;P;MAR;N;26;D;S;Fin;Vel;0
Xiko Gomes;P;PRT;N;22;D;N;Fin;Agi;0
Adrián Butzke;A;ESP;N;27;D;S;Fin;Fri;0
José Melro;A;PRT;N;22;E;N;Dri;Vel;0
Maurice Boakye;A;DEU;N;21;D;N;Fin;Vel;0
