Moreirense;PRT;77;C. J. de Almeida Freitas;Vasco Botelho da Costa;PRT;10A300;FFFFFF;6000
André Ferreira;G;PRT;S;30;D;S;Sgo;Fri;0
Aranha;G;BRA;N;21;D;N;Ref;Fri;0
Dinis Pinto;L;PRT;N;25;D;S;Cru;Res;0
Kiko;L;PRT;N;24;E;S;Pos;Vel;0
Leandro Santos;L;PRT;N;20;D;N;Pas;Ace;0
Álvaro Martínez;L;ESP;N;24;E;S;Pos;For;0
Gilberto Batista;Z;GNB;N;22;D;S;Pos;Con;0
Janderson;Z;BRA;N;20;D;N;Ant;Res;0
Kevyn Monteiro;Z;BRA;N;20;D;N;Mar;Imp;0
Maracás;Z;BRA;N;32;D;S;Cab;Imp;0
Miguel Silva;Z;PRT;N;18;D;N;Ant;Con;0
Afonso Assis;V;PRT;N;20;E;S;Pas;Vis;0
Guilherme Liberato;V;BRA;N;25;D;N;Mar;For;0
Mateja Stjepanović;V;SRB;N;22;D;S;Mar;For;0
Jimi Gower;M;ENG;N;21;D;N;Pas;Vis;0
João Veloso;M;PRT;N;21;D;N;Fin;Agi;0
Manuel Mendonça;M;PRT;N;21;E;N;Arm;Vis;0
Nile John;M;ENG;N;23;D;N;Dri;Agi;0
Rodri Alonso;M;ESP;N;23;D;S;Fin;Fri;0
Kiko Bondoso;P;PRT;N;30;D;S;Arm;Cri;0
Landerson;P;BRA;N;19;D;S;Dri;Ace;0
Michael Dacosta;P;ESP;N;21;E;N;Fin;Ace;0
Tiago Andrade;P;PRT;N;20;D;N;Fin;Res;0
Alexandre Parsemain;A;MTQ;N;23;D;N;Fin;Fri;0
Koby Mottoh;A;ENG;N;19;D;N;Dri;Vel;0
Leonardo Vonić;A;HRV;N;23;A;N;Fin;For;0
Yan Maranhão;A;BRA;N;23;D;N;Dri;Vel;0
