Oliveirense;PRT;57;Carlos Osório;Pedro Ribeiro;PRT;E0161D;040720;1500
Nitai Greis;G;ISR;N;22;D;N;Ref;Imp;0
Ricardo Ribeiro;G;PRT;N;36;D;S;Ref;Fri;0
Rui Dabó;G;GNB;N;31;D;N;Col;Imp;0
Sérgio Dutra;G;PRT;N;24;D;N;Col;Fle;0
Frederico Namora;L;PRT;N;28;E;S;Mar;For;0
João Sérgio;L;PRT;N;23;D;N;Pas;Vel;0
Luís Bastos;L;PRT;N;24;E;S;Cru;Agi;0
Gonçalo Loureiro;Z;PRT;N;26;D;N;Pos;Con;0
João Félix;Z;BRA;N;24;E;N;Pos;Con;0
Raniel;Z;BRA;N;29;D;N;Mar;For;0
Simão Martins;Z;PRT;N;28;E;S;Des;Con;0
Vasco Santos;Z;PRT;N;20;D;S;Des;For;0
Filipe Alves;V;BRA;N;34;D;N;Mar;Con;0
João Daniel;V;PRT;N;24;D;N;Des;Con;0
Sabino;V;BRA;N;27;D;S;Des;For;0
Diogo Sancho;M;PRT;N;20;D;N;Pas;Agi;0
Idrissa Dioh;M;FRA;N;27;D;S;Pas;Vis;0
Kazuya Onohara;M;JPN;N;30;D;N;Pas;Res;0
Kotaro Nagata;M;JPN;N;21;E;N;Dri;Agi;0
Lucas Henrique;M;BRA;N;26;E;S;Arm;Vis;0
Sota Matsunaga;M;JPN;N;22;D;N;Pas;Agi;0
Vasco Braga;M;PRT;N;32;E;N;Arm;Vis;0
Kiko Félix;P;PRT;N;23;E;N;Dri;Ace;0
Ricardo Rei;P;PRT;N;23;D;N;Dri;Vel;0
Joanderson;A;BRA;N;30;E;S;Pas;Fri;0
João Tavares;A;BRA;N;24;D;N;Fin;For;0
Miguel Monteiro;A;PRT;N;23;D;S;Chu;Vel;0
Rodrigo Marquês;A;PRT;N;23;E;N;Fin;Vel;0
Théo Fonseca;A;PRT;N;26;D;N;Dri;Vel;0
Yefrei Rodríguez;A;COL;N;21;D;S;Chu;For;0
