Os Belenenses;PRT;63;Estádio do Restelo;Gonçalo Brandão;PRT;005B9A;FFFFFF;19500
Bruno Dias;G;PRT;N;18;D;N;Ref;Fle;0
Diego Riechelmann;G;BRA;N;26;D;N;Rbo;For;0
Guilherme Oliveira;G;PRT;N;31;D;S;Col;Con;0
David Monteiro;L;PRT;N;22;D;N;Pas;Ace;0
Diogo Varela;L;PRT;N;19;D;N;Pos;Agi;0
Evandro Barros;L;PRT;N;27;E;S;Des;Vel;0
João Lucas;L;PRT;N;30;E;N;Pos;For;0
Miguel Bandarra;L;PRT;N;30;D;S;Cru;Res;0
Afonso Pinto;Z;PRT;N;22;D;S;Pos;For;0
Caica;Z;AGO;N;21;D;N;Des;Imp;0
Cesinha;Z;BRA;N;25;D;S;Mar;Con;0
Nuno Tomás;Z;PRT;N;30;E;S;Mar;Con;0
Afonso Afonso;M;PRT;N;25;D;S;Pas;Res;0
Afonso Valente;M;PRT;N;25;D;S;Pas;Vis;0
David Herrera;M;COL;N;24;D;N;Arm;Agi;0
Diogo Leitão;M;PRT;N;27;D;S;Arm;Vis;0
Diogo Maria;M;PRT;N;21;D;N;Arm;Cri;0
Rodrigo Gomes;M;PRT;N;18;D;N;Pas;Vis;0
Tiago Morgado;M;PRT;N;33;D;S;Pas;Fri;0
Bruninho;P;PRT;N;28;D;N;Dri;Vel;0
João Simões;P;PRT;N;20;D;N;Cru;Agi;0
Midana Sambú;P;PRT;N;28;D;N;Dri;Ace;0
Ricardo Fevereiro;P;PRT;N;21;D;N;Pas;Agi;0
Tiago Moninhas;P;PRT;N;23;D;N;Fin;Vel;0
Valter Zacarias;P;PRT;N;28;D;N;Cru;Res;0
Chamito;A;MOZ;N;22;D;N;Cab;Imp;0
Eduardo Love;A;BRA;N;27;D;S;Fin;For;0
João Oliveira;A;PRT;N;27;E;N;Pas;Res;0
Nikson;A;GNB;N;20;D;N;Dri;Vel;0
