Penafiel;PRT;68;Municipal 25 de Abril;José Manuel Aira;ESP;9E1414;000000;5000
Alexéi Rojas;G;COL;N;20;D;N;Rbo;Fle;0
Joan Femenías;G;ESP;N;30;D;N;Rbo;Con;0
Miguel Oliveira;G;PRT;N;32;E;S;Col;For;0
Douglas Borel;L;BRA;N;24;D;N;Cru;Vel;0
Duarte Oliveira;L;PRT;N;21;D;N;Des;Agi;0
Gonçalo Negrão;L;PRT;N;23;D;S;Pos;Agi;0
Iano Simão;L;GNB;N;27;E;N;Des;Res;0
Martim Alberto;L;PRT;N;22;E;N;Pas;Agi;0
Teddy Alloh;L;FRA;N;24;E;S;Des;Agi;0
Adrián Pica;Z;ESP;N;24;D;S;Ant;Con;0
Cláudio Silva;Z;PRT;N;26;E;S;Des;For;0
Jaime Sánchez;Z;ESP;N;31;D;S;Mar;For;0
João Miguel;Z;PRT;N;32;D;N;Pos;Con;0
Mairlon Ramon;V;BRA;N;21;D;N;Des;Res;0
Pedro Sá;V;PRT;N;32;D;S;Des;For;0
Carlinhos Augusto;M;GNB;N;22;D;N;Arm;Vis;0
Àlex Carbonell;M;ESP;N;28;D;S;Pas;Vis;0
Davo;P;ESP;N;31;D;S;Fin;Res;0
Jota;P;PRT;N;23;D;N;Dri;Ace;0
Juanda Fuentes;P;COL;N;23;E;N;Fin;Vel;0
Konrad Sinyam;P;CMR;N;21;D;N;Dri;Vel;0
Maddi;P;GNB;N;27;D;N;Dri;Vel;0
Nuninho;P;PRT;N;23;D;N;Fin;Agi;0
João Pinto;A;PRT;N;23;A;S;Dri;Vel;0
Max Svensson;A;ESP;N;24;D;S;Fin;For;0
Ricardo Schutte;A;PRT;N;28;D;N;Pas;For;0
