Portimonense;PRT;68;Municipal de Portimão;Tiago Fernandes;PRT;000000;FFFFFF;4500
Dudu;G;DEU;N;27;D;S;Col;Imp;0
Sébastien Cibois;G;FRA;N;28;D;N;Col;Con;0
Wellington Santana;G;BRA;N;29;D;N;Col;Imp;0
Edney;L;BRA;N;22;D;S;Pas;Agi;0
João Reis;L;PRT;N;34;E;S;Cru;Res;0
Thauan Lara;L;BRA;N;22;E;N;Cru;Vel;0
Italo Cabelinho;Z;BRA;N;22;D;N;Pos;Con;0
Jarleysom;Z;BRA;N;22;D;S;Mar;For;0
Marlon Júnior;Z;PRT;N;20;E;S;Pos;Con;0
Samy;Z;AGO;N;26;E;S;Des;For;0
Felipe Favero;V;BRA;N;23;D;N;Des;Res;0
Xavier;V;BRA;N;26;D;S;Des;For;0
Yanis da Rocha;V;PRT;N;22;D;N;Mar;For;0
Caleb Okereke;M;NGA;N;19;D;N;Pas;Cri;0
Ericson;M;BRA;N;22;E;N;Fin;Agi;0
João Casimiro;M;PRT;N;20;D;S;Pas;Vis;0
Lucas De Bolle;M;SCT;N;23;D;N;Pas;Vis;0
Samuel Yépié Yépié;M;FRA;N;23;E;N;Arm;Cri;0
Shoya Nakajima;M;JPN;N;31;D;N;Dri;Cri;0
Welat Cagro;M;BEL;N;27;E;N;Fin;Fri;0
Wermeson;M;BRA;N;25;A;N;Fin;Vis;0
Dudá;P;PRT;N;23;E;S;Dri;Agi;0
Dânio Djassi;P;GNB;N;19;D;S;Dri;Ace;0
Gonçalo Águas;P;PRT;N;22;D;N;Arm;Res;0
Jader Gentil;P;BRA;N;23;D;N;Dri;Agi;0
João Mendes;P;BRA;N;21;E;N;Arm;Vel;0
Mamede;P;PRT;N;24;E;S;Arm;Res;0
Mésaque Djú;P;PRT;N;27;D;N;Fin;Ace;0
Welinton Junior;P;BRA;N;33;D;N;Fin;Vel;0
Paulinho;A;PRT;N;26;D;N;Fin;Res;0
