Santa Clara;PRT;80;Estádio de São Miguel;Petit;PRT;ED1725;FFFFFF;12500
Cristian;G;BRA;N;24;D;N;Col;Imp;0
Lucas França;G;BRA;N;30;D;N;Ref;Con;0
Neneca;G;BRA;N;22;D;S;Ref;Con;0
Diogo Calila;L;MOZ;N;27;D;S;Des;Agi;0
Lucas Soares;L;BRA;N;28;D;S;Pos;Ace;0
Emanuel Fernandes;Z;PRT;N;23;E;N;Cab;Imp;0
Frederico Venâncio;Z;PRT;N;33;D;S;Pos;Con;0
Henrique Silva;Z;BRA;N;20;D;N;Cab;Imp;0
MT;Z;BRA;N;25;E;S;Cab;Imp;0
Pedro Pacheco;Z;PRT;N;29;D;N;Pos;Imp;0
Sidney Lima;Z;BRA;N;29;D;S;Des;Res;0
Pedro Ferreira;V;PRT;N;28;D;S;Mar;Con;0
Andrey;M;BRA;N;24;E;N;Arm;Agi;0
Djé;M;CPV;N;23;D;S;Pas;Agi;0
Fredy;M;PRT;N;20;D;N;Fin;Agi;0
Kamika;M;PRT;N;22;E;N;Arm;Res;0
Tiago Ribeiro;M;PRT;N;24;E;N;Arm;Vis;0
Vasconcelos;M;PRT;N;21;E;N;Arm;Vis;0
Vitinho;M;BRA;N;22;E;N;Fin;Agi;0
Afonso Duarte;P;PRT;N;20;D;N;Arm;Agi;0
Brenner;P;BRA;N;24;D;S;Dri;Vel;0
Fernando;P;BRA;N;21;D;N;Fin;Res;0
Henrique Pereira;P;PRT;N;24;D;N;Dri;Vel;0
Sorriso;P;BRA;N;20;A;N;Fin;Ace;0
Vinícius Lopes;P;BRA;N;27;D;S;Fin;Ace;0
Vitinho;P;BRA;N;23;E;N;Dri;Agi;0
Welinton Torrão;P;BRA;N;27;D;N;Dri;Vel;0
Gonçalo Paciência;A;PRT;N;32;D;N;Fin;For;0
João Costa;A;PRT;N;26;D;N;Pas;Res;0
Léo Jacó;A;BRA;N;21;E;S;Dri;Vel;0
