Sporting B;PRT;68;Aurélio Pereira;Tiago Fernandes;PRT;008056;FFFFFF;1000
Francisco Silva;G;PRT;N;20;D;N;Ref;Fri;0
Guilherme Pires;G;PRT;N;21;D;S;Col;Imp;0
Daniel Costa;L;PRT;N;18;D;N;Pas;Agi;0
Rayhan Momade;L;PRT;N;20;E;S;Cru;Agi;0
Bruno Ramos;Z;BRA;N;21;D;S;Des;For;0
João Muniz;Z;PRT;N;21;E;S;Mar;For;0
Lucas Taibo;Z;ESP;N;20;E;N;Pos;Imp;0
Rafael Mota;Z;PRT;N;19;E;N;Pos;Imp;0
Eduardo Felicíssimo;V;PRT;N;19;D;S;Pas;Vis;0
Mateo Tanlongo;V;ARG;N;22;D;N;Mar;Con;0
Zaïd Bafdili;V;BEL;N;18;D;N;Des;Con;0
Catarino;M;PRT;N;18;D;N;Pas;Agi;0
Kauã Oliveira;M;BRA;N;22;D;S;Pas;Agi;0
Rafael Besugo;M;PRT;N;22;E;N;Pas;Vis;0
Rafael Camacho;M;PRT;N;19;D;N;Pas;Agi;0
Samuel Justo;M;PRT;N;22;D;S;Fin;Res;0
Sebastián Osorio;M;COL;N;18;D;N;Dri;Agi;0
Lucas Dias;P;CAN;N;23;D;S;Dri;Cri;0
Manuel Kissanga;P;AGO;N;20;D;N;Dri;Vel;0
Mauro Couto;P;PRT;N;20;E;S;Arm;Res;0
Paulo Cardoso;P;CPV;N;20;D;S;Fin;Agi;0
Rodrigo Rodrigues;P;PRT;N;18;D;N;Dri;Ace;0
Gabriel Silva;A;PRT;N;19;D;N;Fin;Vel;0
Lucas Anjos;A;PRT;N;22;D;S;Fin;Fri;0
Víctor Guzmán;A;PER;N;20;E;N;Pas;For;0
