Torreense;PRT;71;Manuel Marques;Luís Tralhão;PRT;782127;B6BABE;2000
Adriel;G;BRA;N;25;D;S;Ref;Con;0
Lucas Paes;G;BRA;N;28;D;N;Col;Con;0
Danilo;L;BRA;N;22;D;N;Mar;Agi;0
David Bruno;L;PRT;N;34;D;S;Pos;For;0
Javi Vázquez;L;ESP;N;25;E;S;Cru;Agi;0
Jonathan Mutombo;L;FRA;N;24;D;S;Mar;Vel;0
Juan María Alcedo;L;ESP;N;25;E;N;Pas;Vel;0
Brian Agbor;Z;CMR;N;25;D;N;Mar;For;0
Hugo Pérez;Z;ESP;N;23;D;N;Mar;For;0
Mohamed Diadié;Z;MRT;N;21;D;S;Des;For;0
Stopira;Z;CPV;N;38;E;S;Pos;Res;0
Volnei;Z;BRA;N;26;D;N;Ant;Con;0
Amine Oudrhiri;V;MAR;N;33;D;N;Ant;Con;0
Zé Breno;V;BRA;N;22;D;N;Pas;Vis;0
Alejandro Alfaro;M;ESP;N;24;D;S;Arm;Vis;0
André Simões;M;PRT;N;23;D;N;Pas;Res;0
Carlos Reina;M;ESP;N;22;D;N;Pas;Agi;0
Costinha;M;PRT;N;34;D;N;Fin;Cri;0
Joel Romero;M;COL;N;20;D;N;Arm;Vis;0
Nuha Jatta;M;DEU;N;20;D;S;Pas;Agi;0
Bob Omoregbe;P;ITA;N;22;E;N;Dri;Ace;0
Dany Jean;P;HTI;N;23;E;S;Fin;Ace;0
João Marques;P;PRT;N;24;D;N;Dri;Agi;0
Luis Quintero;P;COL;N;21;E;S;Dri;Cri;0
Manu Pozo;P;ESP;N;24;E;N;Fin;Agi;0
Musa Drammeh;P;ESP;N;24;D;S;Fin;Vel;0
Adama Baradji;A;FRA;N;18;D;N;Dri;Vel;0
Jorge Aguirre;A;CUB;N;26;D;N;Fin;For;0
Karem Zoabi;A;ISR;N;20;E;N;Dri;Vel;0
Kévin Zohi;A;MLI;N;29;D;N;Fin;Fri;0
