Vitória Guimarães;PRT;80;D. Afonso Henriques;Tiago Margarido;PRT;FFFFFF;000000;30000
Juan Castillo;G;COL;N;23;D;N;Rbo;Fle;0
Lucas Furtado;G;BRA;N;21;D;N;Ref;Fri;0
Oliwier Zych;G;POL;N;22;D;S;Ref;Fle;0
Francisco Dias;L;PRT;N;23;E;N;Des;Vel;0
João Mendes;L;PRT;N;26;E;S;Pas;Ace;0
Maga;L;PRT;N;23;D;N;Pos;For;0
Tony Strata;L;ROU;N;21;D;S;Cru;Res;0
Ahmed Sidibé;Z;FRA;N;24;E;N;Ant;For;0
Miguel Nóbrega;Z;PRT;N;26;D;N;Cab;Imp;0
Thiago Balieiro;Z;BRA;N;23;D;S;Mar;Con;0
Yeimar Mosquera;Z;COL;N;21;E;N;Des;For;0
Óscar Rivas;Z;ESP;N;26;A;S;Des;Res;0
Lohann Doucet;V;FRA;N;23;D;N;Mar;Con;0
Rica Rocha;V;PRT;N;22;A;N;Pas;Con;0
Beni Mukendi;M;AGO;N;24;D;S;Dri;Vis;0
Gonçalo Nogueira;M;PRT;N;22;D;S;Pas;Vis;0
Marco Cruz;M;PRT;N;22;E;N;Pas;Res;0
Matija Mitrović;M;SRB;N;21;D;N;Chu;Res;0
Miguel Nogueira;M;PRT;N;21;E;N;Pas;Res;0
Samu;M;PRT;N;30;E;S;Pas;Cri;0
Santi Verdi;M;PRT;N;18;D;N;Pas;Vis;0
Fabio Blanco;P;ESP;N;22;D;N;Dri;Ace;0
Gustavo Silva;P;BRA;N;27;D;S;Fin;Ace;0
Oumar Camara;P;FRA;N;19;D;S;Fin;Agi;0
Telmo Arcanjo;P;CPV;N;25;E;N;Cru;Cri;0
Vando Félix;P;GNB;N;23;D;N;Dri;Vel;0
Victor Andersson;P;SWE;N;21;D;N;Pas;Agi;0
Alioune Ndoye;A;SEN;N;24;D;S;Cab;Imp;0
Patrick Ouotro;A;CIV;N;20;D;N;Fin;Fri;0
Rodrigo Macedo;A;PRT;N;23;D;N;Fin;Vel;0
