Vizela;PRT;69;Futebol Clube de Vizela;Ronald Molina;VEN;006AB0;FFFFFF;6000
Aleksandar Vulic;G;SRB;N;25;D;N;Rbo;Fle;0
Antonio Gomis;G;ESP;N;23;E;S;Ref;Fri;0
Pedro Souza;G;PRT;N;24;D;N;Sgo;Con;0
Alfred Caicedo;L;ECU;N;21;D;N;Des;Vel;0
Bright Godwin;L;NGA;N;24;E;S;Des;Agi;0
Jójó;L;CPV;N;25;D;N;Pos;For;0
Luis Miguel Mina;L;COL;N;21;D;N;Cru;For;0
Andrea Hristov;Z;BGR;N;27;A;N;Des;For;0
Jean-Pierre Rhyner;Z;PER;N;30;E;S;Mar;For;0
José Sampaio;Z;PRT;N;21;D;N;Cab;Imp;0
Luís Rocha;Z;PRT;N;39;D;N;Pos;Con;0
Momo Mbaye;Z;SEN;N;28;E;N;Mar;For;0
Aleksandar Busnić;V;SRB;N;28;D;S;Ant;For;0
Leverton Pierre;V;HTI;N;28;D;N;Mar;For;0
Angel Bastunov;M;BGR;N;27;D;S;Arm;Vis;0
Heinz Mörschel;M;DOM;N;28;D;S;Fin;Fri;0
Miguel Pires;M;PRT;N;23;D;S;Pas;Res;0
Neto;M;BRA;N;34;D;N;Pas;Res;0
Abdul Awudu;P;GHA;N;25;D;N;Fin;Res;0
Damien Loppy;P;FRA;N;28;D;S;Arm;Cri;0
Matías Lacava;P;VEN;N;23;E;N;Dri;Cri;0
Miguel Tavares;P;PRT;N;27;D;S;Dri;Agi;0
Ricardo Yordanov;P;PRT;N;18;D;N;Dri;Ace;0
Rodrigo Ramos;P;PRT;N;22;D;N;Pas;Cri;0
Thio;P;FRA;N;27;E;S;Fin;Ace;0
Anthony Carter;A;AUS;N;31;D;N;Cab;Imp;0
Manu Garrido;A;ESP;N;25;D;N;Fin;For;0
Pedro Ramos;A;PRT;N;21;E;N;Fin;Vel;0
Yann Kitala;A;COD;N;28;E;N;Cab;Imp;0
Yassin Fortuné;A;HTI;N;27;D;S;Dri;Vel;0
