Guaraní-PAR;PRY;78;Rogelio Silvino Livieres;Ariel Galeano;PRY;F2D733;000000;8000
Aldo Pérez;G;PRY;N;25;D;N;Sgo;Imp;0
Antonino Martínez;G;PRY;N;23;D;N;Ref;Fri;0
Gaspar Servio;G;ARG;N;34;D;S;Ref;Fri;0
Daniel Pérez;L;PRY;N;32;D;S;Mar;Res;0
Jonathan Espínola;L;PRY;N;24;E;N;Pas;Ace;0
Leandro Allende;L;ARG;N;29;E;N;Pos;Agi;0
Patricio Coronel;L;PRY;N;19;E;N;Pas;Agi;0
René Rodríguez;L;PRY;N;24;D;N;Des;Agi;0
Alcides Barbotte;Z;PRY;N;24;D;S;Des;Con;0
Imanol Segovia;Z;ARG;N;25;D;S;Pos;Imp;0
Miguel Jacquet;Z;PRY;N;31;D;N;Des;Imp;0
Paul Riveros;Z;PRY;N;29;D;N;Mar;Res;0
Thiago Servín;Z;PRY;N;23;E;S;Des;Vel;0
Ángel Ibarra;Z;PRY;N;23;E;N;Mar;Res;0
Giovanni Gómez;V;PRY;N;18;D;N;Mar;Res;0
Jesús Llano;V;PRY;N;25;D;S;Pas;Vis;0
Luis Martínez;V;PRY;N;26;D;S;Des;Con;0
Patricio Tanda;V;ARG;N;24;E;S;Des;Vis;0
Carlos Arrúa;M;PRY;N;29;D;N;Arm;Agi;0
Jorge Recalde;M;PRY;N;34;A;N;Dri;Agi;0
Matías López;M;PRY;N;22;D;S;Arm;Vis;0
Ricardo Quiñónez;M;PRY;N;25;D;N;Pas;Fri;0
Diego Fernández;P;PRY;N;23;E;S;Cru;Agi;0
Maximiliano Añasco;P;URY;N;25;E;N;Pas;Agi;0
Víctor Céspedes;P;PRY;N;23;D;N;Cru;Agi;0
Fernando Fernández;A;PRY;N;34;D;S;Fin;For;0
Juan Manuel García;A;ARG;N;33;D;N;Fin;For;0
Nelson Romero;A;PRY;N;18;D;N;Pas;Res;0
Thiago Romero;A;ARG;N;20;D;N;Dri;Res;0
