Libertad;PRY;80;La Huerta;Nelson Valdez;PRY;FFFFFF;000000;10000
Rodrigo Morínigo;G;PRY;N;27;D;S;Sgo;Fri;0
Ángel González;G;PRY;N;23;D;N;Ref;Fle;0
Alan Benítez;L;PRY;N;32;D;N;Cru;For;0
Estiven Villalba;L;PRY;N;18;D;S;Pas;Vel;0
Matías Espinoza;L;PRY;N;28;E;S;Pos;Res;0
Néstor Giménez;L;PRY;N;29;E;S;Des;For;0
Gilberto Flores;Z;PRY;N;23;D;S;Des;Imp;0
Nicolás Freire;Z;ARG;N;32;E;N;Pos;Imp;0
Robert Rojas;Z;PRY;N;30;D;N;Cab;Imp;0
Santiago Delvalle;Z;PRY;N;21;D;N;Pos;Vel;0
Thiago Fernández;Z;PRY;N;19;D;N;Ant;Con;0
Hernesto Caballero;V;PRY;N;35;D;S;Pas;For;0
Álvaro Campuzano;V;PRY;N;31;D;S;Des;For;0
Agustín Manzur;M;PSE;N;25;D;N;Arm;Vis;0
Amín Molinas;M;PRY;N;20;D;N;Pas;Agi;0
Christian Martínez;M;PRY;N;21;D;N;Pas;Vis;0
Federico Carrizo;M;ARG;N;35;D;S;Pas;Vis;0
Joaquín Bogarín;M;PRY;N;19;D;N;Pas;Res;0
Lucas Sanabria;M;PRY;N;26;D;S;Pas;Vis;0
Matías Rojas;M;PRY;N;30;E;N;Chu;Vis;0
Alexis Fretes;P;PRY;N;20;E;S;Cru;Ace;0
Hugo Fernández;P;PRY;N;28;E;N;Cru;Vel;0
Iván Franco;P;PRY;N;26;D;N;Pas;Res;0
Pedro Villalba;P;PRY;N;18;E;N;Pas;Res;0
Rodrigo Villalba;P;PRY;N;20;D;N;Fin;Agi;0
Gustavo Aguilar;A;PRY;N;26;D;S;Fin;For;0
Iván Ramírez;A;PRY;N;22;D;N;Dri;Fri;0
Lorenzo Melgarejo;A;PRY;S;36;E;S;Fin;For;6
Marcelo Fernández;A;PRY;N;24;D;N;Cab;Vel;0
Rodrigo Acuña;A;PRY;N;18;D;N;Cab;Res;0
