Olimpia;PRY;81;Defensores del Chaco;Pablo Sánchez;ARG;FFFFFF;000000;40500
Gastón Olveira;G;PRY;N;33;D;S;Sgo;Fle;0
Sebastián Lentinelly;G;URY;N;29;D;N;Sgo;For;0
Alan Rodríguez;L;PRY;N;26;E;S;Cru;Vel;0
Aníbal Chalá;L;ECU;N;30;E;N;Mar;Res;0
César Olmedo;L;PRY;N;23;D;N;Des;Vel;0
Esteban Matus;L;CHL;N;24;E;N;Des;Vel;0
Raúl Cáceres;L;PRY;N;34;D;S;Cru;Res;0
Tim Payne;L;NZL;N;32;D;N;Pos;For;0
Brayan Bentaberry;Z;URY;N;29;D;N;Des;Vel;0
Gustavo Vargas;Z;PRY;N;24;D;S;Pos;Vel;0
Juan Vera;Z;PRY;N;27;D;S;Des;Con;0
Mateo Gamarra;Z;PRY;N;25;E;S;Ant;Vel;0
Alex Franco;V;PRY;N;25;D;N;Pas;For;0
Juan Fernando Alfaro;V;ARG;N;26;D;S;Des;Vis;0
Richard Ortiz;V;PRY;N;36;E;S;Ant;Res;0
Eduardo Delmas;M;PRY;N;19;E;S;Pas;Res;0
Richard Sánchez;M;PRY;N;30;D;N;Arm;Vis;0
Rubén Lezcano;M;PRY;N;22;E;S;Arm;Vis;0
Fernando Cardozo;P;PRY;N;25;D;N;Pas;Cri;0
Franco Alfonso;P;ARG;N;24;D;N;Fin;Res;0
Iván Leguizamón;P;PRY;N;24;E;N;Pas;Agi;0
Pedro Zarza;P;PRY;N;19;D;N;Dri;Agi;0
Romeo Benítez;P;PRY;N;23;D;N;Arm;Cri;0
Braian Romero;A;ARG;N;35;D;N;Fin;For;0
Derlis González;A;PRY;N;32;D;N;Fin;Vel;0
Faustino Barone;A;URY;N;20;D;N;Fin;Res;0
Gabriel Ávalos;A;PRY;S;35;D;S;Cab;Imp;0
Hugo Sandoval;A;PRY;N;26;D;N;Cab;Res;0
Sebastián Ferreira;A;PRY;N;28;D;N;Pas;Vel;0
Tiago Caballero;A;PRY;N;21;D;N;Cab;For;0
