Baltika;RUS;78;Rostec Arena;Andrey Talalaev;RUS;FFFFFF;00428F;30500
Egor Lyubakov;G;RUS;N;27;D;N;Ref;Fle;0
Evgeniy Latyshonok;G;RUS;N;28;D;S;Ref;For;0
Ivan Kukushkin;G;RUS;N;24;E;N;Rbo;Fri;0
Dmitriy Begun;L;RUS;N;23;E;N;Pas;For;0
Eldar Civic;L;BIH;N;30;E;S;Mar;Vel;0
Fahd Moufi;L;MAR;N;30;D;N;Pas;For;0
Maksim Shnaptsev;L;RUS;N;22;D;N;Des;Res;0
Mikhail Ryadno;L;RUS;N;20;E;N;Cru;Vel;0
Mingiyan Beveev;L;RUS;N;30;D;S;Mar;Res;0
Aleksandr Filin;Z;RUS;N;30;E;N;Ant;For;0
Eduardo Anderson;Z;PAN;N;25;D;S;Mar;Imp;0
Ilya Kirsh;Z;RUS;N;21;D;N;Des;Vel;0
Loris Mouyokolo;Z;FRA;N;25;D;N;Pos;Con;0
Nathan Gassama;Z;MLI;N;25;E;S;Mar;Vel;0
Sergey Varatynov;Z;RUS;N;23;D;S;Des;For;0
Andrey Mendel;V;RUS;N;31;D;S;Chu;Con;0
Aymane Mourid;V;MAR;N;26;D;S;Mar;Vis;0
Ivan Belikov;V;RUS;N;22;D;N;Des;Con;0
Ilya Petrov;M;RUS;N;31;E;N;Pas;Vis;0
Konstantin Shiltsov;M;RUS;N;24;D;N;Dri;Fri;0
Maksim Petrov;M;RUS;N;25;D;S;Pas;Vis;0
Nikolay Titkov;M;RUS;N;26;D;S;Fin;Agi;0
Stefan Kovac;M;BIH;N;27;D;N;Chu;Vis;0
Vladislav Pospelov;M;RUS;N;19;D;N;Pas;Fri;0
Irakliy Manelov;P;RUS;N;23;D;N;Dri;Res;0
Tenton Yenne;P;NGA;N;26;D;N;Arm;Vel;0
Brayan Gil;A;SLV;N;25;D;N;Fin;Vel;0
Chinonso Offor;A;NGA;N;26;D;S;Cab;Imp;0
Dmitriy Nikitin;A;RUS;N;19;D;N;Fin;Imp;0
Kirill Nikishin;A;RUS;N;22;D;N;Fin;For;0
